Name: Binswood Avenue, Instruction: Head north on Binswood Avenue, Distance: 7.7 meters, Time: 5.6 seconds
Name: -, Instruction: Turn left, Distance: 81.3 meters, Time: 58.5 seconds
Name: -, Instruction: Keep left, Distance: 242.3 meters, Time: 174.5 seconds
Name: -, Instruction: Turn sharp left, Distance: 18.4 meters, Time: 13.2 seconds
Name: -, Instruction: Turn right, Distance: 20.4 meters, Time: 14.7 seconds
Name: -, Instruction: Turn sharp left, Distance: 187.4 meters, Time: 134.9 seconds
Name: -, Instruction: Keep left, Distance: 21.1 meters, Time: 15.2 seconds
Name: -, Instruction: Keep right, Distance: 63.0 meters, Time: 45.3 seconds
Name: -, Instruction: Keep left, Distance: 23.6 meters, Time: 17.0 seconds
Name: -, Instruction: Turn left, Distance: 49.3 meters, Time: 35.5 seconds
Name: -, Instruction: Turn slight right, Distance: 5.8 meters, Time: 4.2 seconds
Name: -, Instruction: Turn left, Distance: 32.6 meters, Time: 23.5 seconds
Name: -, Instruction: Turn left, Distance: 53.2 meters, Time: 38.3 seconds
Name: -, Instruction: Turn right, Distance: 71.5 meters, Time: 51.5 seconds
Name: -, Instruction: Keep left, Distance: 287.4 meters, Time: 206.9 seconds
Name: -, Instruction: Turn left, Distance: 14.9 meters, Time: 10.7 seconds
Name: -, Instruction: Turn right, Distance: 147.9 meters, Time: 106.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
