Name: Rue de Tilsitt, Instruction: Head north on Rue de Tilsitt, Distance: 11.3 meters, Time: 8.2 seconds
Name: -, Instruction: Turn right, Distance: 83.2 meters, Time: 59.9 seconds
Name: -, Instruction: Keep right, Distance: 47.4 meters, Time: 34.2 seconds
Name: -, Instruction: Keep right, Distance: 8.0 meters, Time: 5.7 seconds
Name: -, Instruction: Keep right, Distance: 170.7 meters, Time: 122.9 seconds
Name: -, Instruction: Keep right, Distance: 113.6 meters, Time: 81.8 seconds
Name: -, Instruction: Turn slight left, Distance: 13.8 meters, Time: 10.0 seconds
Name: -, Instruction: Turn right, Distance: 164.2 meters, Time: 118.2 seconds
Name: -, Instruction: Keep left, Distance: 65.8 meters, Time: 47.4 seconds
Name: -, Instruction: Turn right, Distance: 14.3 meters, Time: 10.3 seconds
Name: -, Instruction: Turn right, Distance: 3.1 meters, Time: 2.3 seconds
Name: -, Instruction: Turn left, Distance: 216.6 meters, Time: 156.0 seconds
Name: -, Instruction: Turn sharp left, Distance: 32.4 meters, Time: 23.3 seconds
Name: -, Instruction: Turn right, Distance: 322.7 meters, Time: 232.3 seconds
Name: -, Instruction: Turn left, Distance: 22.9 meters, Time: 16.5 seconds
Name: -, Instruction: Turn left, Distance: 12.0 meters, Time: 8.6 seconds
Name: Rue de la Bienfaisance, Instruction: Turn sharp right onto Rue de la Bienfaisance, Distance: 627.5 meters, Time: 451.8 seconds
Name: Rue de Vienne, Instruction: Turn left onto Rue de Vienne, Distance: 31.2 meters, Time: 22.4 seconds
Name: Rue de Stockholm, Instruction: Turn right onto Rue de Stockholm, Distance: 6.2 meters, Time: 4.5 seconds
Name: -, Instruction: Turn left, Distance: 8.4 meters, Time: 6.0 seconds
Name: -, Instruction: Turn right, Distance: 74.1 meters, Time: 53.3 seconds
Name: -, Instruction: Turn left, Distance: 1.7 meters, Time: 1.2 seconds
Name: -, Instruction: Turn right, Distance: 17.3 meters, Time: 12.5 seconds
Name: -, Instruction: Turn left, Distance: 17.5 meters, Time: 12.6 seconds
Name: -, Instruction: Turn right, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
