Name: Maltings Place, Instruction: Head west on Maltings Place, Distance: 4.0 meters, Time: 2.9 seconds
Name: Brunswick Court, Instruction: Turn right onto Brunswick Court, Distance: 48.5 meters, Time: 34.9 seconds
Name: -, Instruction: Turn left, Distance: 25.6 meters, Time: 18.4 seconds
Name: Whites Grounds, Instruction: Turn left onto Whites Grounds, Distance: 39.8 meters, Time: 28.7 seconds
Name: -, Instruction: Turn right, Distance: 58.6 meters, Time: 42.2 seconds
Name: Crucifix Lane, A2207, Instruction: Turn left onto Crucifix Lane, A2207, Distance: 130.9 meters, Time: 94.3 seconds
Name: Snowsfields, Instruction: Turn slight left onto Snowsfields, Distance: 9.6 meters, Time: 6.9 seconds
Name: St. Thomas Street, Instruction: Keep right onto St. Thomas Street, Distance: 550.1 meters, Time: 396.1 seconds
Name: -, Instruction: Turn left, Distance: 15.8 meters, Time: 11.4 seconds
Name: -, Instruction: Turn right, Distance: 17.2 meters, Time: 12.4 seconds
Name: -, Instruction: Turn left, Distance: 66.1 meters, Time: 47.6 seconds
Name: -, Instruction: Keep left, Distance: 227.9 meters, Time: 164.0 seconds
Name: -, Instruction: Turn slight left, Distance: 5.1 meters, Time: 3.6 seconds
Name: -, Instruction: Turn slight right, Distance: 116.9 meters, Time: 84.2 seconds
Name: -, Instruction: Turn right, Distance: 389.0 meters, Time: 280.1 seconds
Name: -, Instruction: Keep right, Distance: 101.4 meters, Time: 73.0 seconds
Name: -, Instruction: Turn left, Distance: 16.3 meters, Time: 11.8 seconds
Name: -, Instruction: Turn right, Distance: 9.7 meters, Time: 7.0 seconds
Name: -, Instruction: Keep right, Distance: 7.3 meters, Time: 5.3 seconds
Name: Bear Lane, Instruction: Turn left onto Bear Lane, Distance: 10.9 meters, Time: 7.8 seconds
Name: Burrell Street, Instruction: Turn right onto Burrell Street, Distance: 40.4 meters, Time: 29.1 seconds
Name: Burrell Street, Instruction: Turn left onto Burrell Street, Distance: 182.2 meters, Time: 131.2 seconds
Name: -, Instruction: Arrive at Burrell Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
