Name: Plains Road, Instruction: Head east on Plains Road, Distance: 257.7 meters, Time: 185.5 seconds
Name: -, Instruction: Turn right, Distance: 5.8 meters, Time: 4.2 seconds
Name: -, Instruction: Turn left, Distance: 67.1 meters, Time: 48.3 seconds
Name: -, Instruction: Keep left, Distance: 9.5 meters, Time: 6.9 seconds
Name: Glebemount Avenue, Instruction: Turn right onto Glebemount Avenue, Distance: 218.5 meters, Time: 157.3 seconds
Name: -, Instruction: Turn left, Distance: 132.5 meters, Time: 95.4 seconds
Name: -, Instruction: Keep right, Distance: 84.6 meters, Time: 60.9 seconds
Name: -, Instruction: Turn slight left, Distance: 1.4 meters, Time: 1.0 seconds
Name: -, Instruction: Keep left, Distance: 11.2 meters, Time: 8.1 seconds
Name: -, Instruction: Turn right, Distance: 70.5 meters, Time: 50.8 seconds
Name: -, Instruction: Turn slight right, Distance: 5.6 meters, Time: 4.0 seconds
Name: Holborne Avenue, Instruction: Turn left onto Holborne Avenue, Distance: 154.5 meters, Time: 111.3 seconds
Name: -, Instruction: Turn right, Distance: 5.2 meters, Time: 3.8 seconds
Name: -, Instruction: Turn left, Distance: 38.7 meters, Time: 27.9 seconds
Name: -, Instruction: Turn right, Distance: 71.9 meters, Time: 51.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
