Name: Thomas-Diewald-Straße, Instruction: Head southwest on Thomas-Diewald-Straße, Distance: 86.6 meters, Time: 62.4 seconds
Name: -, Instruction: Turn right, Distance: 13.5 meters, Time: 9.7 seconds
Name: Germeringer Straße, St 2544, Instruction: Turn right onto Germeringer Straße, St 2544, Distance: 118.5 meters, Time: 85.3 seconds
Name: -, Instruction: Turn left, Distance: 30.0 meters, Time: 21.6 seconds
Name: -, Instruction: Turn slight left, Distance: 7.3 meters, Time: 5.3 seconds
Name: Maria-Günzl-Weg, Instruction: Turn slight left onto Maria-Günzl-Weg, Distance: 151.6 meters, Time: 109.1 seconds
Name: Maria-Günzl-Weg, Instruction: Continue straight onto Maria-Günzl-Weg, Distance: 17.6 meters, Time: 12.7 seconds
Name: Tandlerschlucht, Instruction: Turn right onto Tandlerschlucht, Distance: 26.4 meters, Time: 19.0 seconds
Name: Bräuhausstraße, Instruction: Turn sharp left onto Bräuhausstraße, Distance: 108.3 meters, Time: 78.0 seconds
Name: -, Instruction: Turn right, Distance: 16.2 meters, Time: 11.6 seconds
Name: -, Instruction: Keep right, Distance: 1.6 meters, Time: 1.1 seconds
Name: -, Instruction: Keep right, Distance: 38.1 meters, Time: 27.4 seconds
Name: -, Instruction: Turn right, Distance: 9.7 meters, Time: 6.9 seconds
Name: -, Instruction: Turn left, Distance: 50.3 meters, Time: 36.2 seconds
Name: Am Marktplatz, Instruction: Turn left onto Am Marktplatz, Distance: 84.1 meters, Time: 60.6 seconds
Name: -, Instruction: Keep right, Distance: 34.7 meters, Time: 24.9 seconds
Name: -, Instruction: Turn right, Distance: 93.7 meters, Time: 67.5 seconds
Name: -, Instruction: Turn right, Distance: 9.1 meters, Time: 6.6 seconds
Name: -, Instruction: Turn left, Distance: 33.5 meters, Time: 24.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
