Name: Rua João Araújo do Parque Rubens Vaz, Instruction: Head east on Rua João Araújo do Parque Rubens Vaz, Distance: 92.7 meters, Time: 66.7 seconds
Name: Rua Alayde Câmara Soares, Instruction: Turn left onto Rua Alayde Câmara Soares, Distance: 52.7 meters, Time: 38.0 seconds
Name: Rua Darci Vargas, Instruction: Turn left onto Rua Darci Vargas, Distance: 118.8 meters, Time: 85.5 seconds
Name: Rua Portinari, Instruction: Turn right onto Rua Portinari, Distance: 69.2 meters, Time: 49.8 seconds
Name: Rua Roberto da Silveira, Instruction: Turn left onto Rua Roberto da Silveira, Distance: 79.3 meters, Time: 57.1 seconds
Name: Rua Canaã, Instruction: Turn right onto Rua Canaã, Distance: 72.2 meters, Time: 52.0 seconds
Name: Rua Ari Leão, Instruction: Turn right onto Rua Ari Leão, Distance: 4.9 meters, Time: 3.5 seconds
Name: Rua Raul Brunini, Instruction: Turn left onto Rua Raul Brunini, Distance: 202.0 meters, Time: 145.5 seconds
Name: Avenida Brigadeiro Trompowski, Instruction: Turn right onto Avenida Brigadeiro Trompowski, Distance: 15.5 meters, Time: 11.1 seconds
Name: -, Instruction: Turn right, Distance: 7.5 meters, Time: 5.4 seconds
Name: -, Instruction: Turn left, Distance: 128.3 meters, Time: 92.3 seconds
Name: Rua 18 de Abril, Instruction: Turn left onto Rua 18 de Abril, Distance: 12.0 meters, Time: 8.7 seconds
Name: Avenida Brigadeiro Trompowski, Instruction: Turn right onto Avenida Brigadeiro Trompowski, Distance: 57.4 meters, Time: 41.3 seconds
Name: -, Instruction: Turn right, Distance: 246.6 meters, Time: 177.5 seconds
Name: Avenida Brigadeiro Trompowski, Instruction: Turn right onto Avenida Brigadeiro Trompowski, Distance: 35.9 meters, Time: 25.9 seconds
Name: -, Instruction: Turn right, Distance: 10.5 meters, Time: 7.6 seconds
Name: -, Instruction: Turn left, Distance: 98.3 meters, Time: 70.8 seconds
Name: -, Instruction: Turn slight right, Distance: 35.3 meters, Time: 25.4 seconds
Name: -, Instruction: Turn right, Distance: 26.5 meters, Time: 19.1 seconds
Name: -, Instruction: Turn right, Distance: 201.6 meters, Time: 145.2 seconds
Name: Avenida Almirante Frontin, Instruction: Continue straight onto Avenida Almirante Frontin, Distance: 321.8 meters, Time: 231.7 seconds
Name: Rua Doutor Oswaldo Serra Macedo, Instruction: Turn sharp left onto Rua Doutor Oswaldo Serra Macedo, Distance: 25.2 meters, Time: 18.1 seconds
Name: -, Instruction: Turn left, Distance: 53.0 meters, Time: 38.2 seconds
Name: -, Instruction: Turn right, Distance: 79.7 meters, Time: 57.4 seconds
Name: Rua Ouricuri, Instruction: Turn left onto Rua Ouricuri, Distance: 152.4 meters, Time: 109.7 seconds
Name: -, Instruction: Turn right, Distance: 56.3 meters, Time: 40.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
