Name: Richmond Street West, Instruction: Head southwest on Richmond Street West, Distance: 74.0 meters, Time: 53.2 seconds
Name: Walnut Avenue, Instruction: Turn left onto Walnut Avenue, Distance: 4.9 meters, Time: 3.5 seconds
Name: -, Instruction: Turn right, Distance: 44.5 meters, Time: 32.1 seconds
Name: -, Instruction: Turn left, Distance: 99.8 meters, Time: 71.9 seconds
Name: -, Instruction: Turn right, Distance: 47.4 meters, Time: 34.1 seconds
Name: -, Instruction: Turn left, Distance: 4.4 meters, Time: 3.2 seconds
Name: Adelaide Street West, Instruction: Turn right onto Adelaide Street West, Distance: 178.5 meters, Time: 128.5 seconds
Name: -, Instruction: Turn left, Distance: 5.5 meters, Time: 4.0 seconds
Name: -, Instruction: Turn right, Distance: 94.1 meters, Time: 67.8 seconds
Name: -, Instruction: Turn left, Distance: 60.6 meters, Time: 43.6 seconds
Name: Shank Street, Instruction: Turn right onto Shank Street, Distance: 101.0 meters, Time: 72.7 seconds
Name: -, Instruction: Turn left, Distance: 70.3 meters, Time: 50.6 seconds
Name: -, Instruction: Turn right, Distance: 110.6 meters, Time: 79.7 seconds
Name: -, Instruction: Keep left, Distance: 63.0 meters, Time: 45.4 seconds
Name: -, Instruction: Keep left, Distance: 20.8 meters, Time: 15.0 seconds
Name: -, Instruction: Turn left, Distance: 17.4 meters, Time: 12.5 seconds
Name: -, Instruction: Turn right, Distance: 305.5 meters, Time: 219.9 seconds
Name: -, Instruction: Keep left, Distance: 64.7 meters, Time: 46.6 seconds
Name: -, Instruction: Keep right, Distance: 137.9 meters, Time: 99.3 seconds
Name: -, Instruction: Turn slight right, Distance: 220.0 meters, Time: 158.4 seconds
Name: -, Instruction: Turn left, Distance: 38.5 meters, Time: 27.7 seconds
Name: -, Instruction: Continue straight, Distance: 16.5 meters, Time: 11.9 seconds
Name: -, Instruction: Turn right, Distance: 84.3 meters, Time: 60.7 seconds
Name: -, Instruction: Continue straight, Distance: 9.9 meters, Time: 7.1 seconds
Name: -, Instruction: Continue straight, Distance: 26.2 meters, Time: 18.9 seconds
Name: -, Instruction: Keep right, Distance: 15.0 meters, Time: 10.8 seconds
Name: -, Instruction: Turn sharp right, Distance: 350.7 meters, Time: 252.5 seconds
Name: -, Instruction: Turn right, Distance: 13.2 meters, Time: 9.5 seconds
Name: -, Instruction: Turn left, Distance: 78.4 meters, Time: 56.4 seconds
Name: -, Instruction: Turn left, Distance: 63.0 meters, Time: 45.4 seconds
Name: -, Instruction: Turn left, Distance: 9.2 meters, Time: 6.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
