Name: Lonedown Road, Instruction: Head east on Lonedown Road, Distance: 157.2 meters, Time: 113.2 seconds
Name: Downberg Road, Instruction: Turn right onto Downberg Road, Distance: 251.6 meters, Time: 181.2 seconds
Name: -, Instruction: Turn right, Distance: 107.2 meters, Time: 77.2 seconds
Name: -, Instruction: Turn sharp right, Distance: 107.3 meters, Time: 77.2 seconds
Name: -, Instruction: Keep right, Distance: 19.1 meters, Time: 13.8 seconds
Name: -, Instruction: Turn right, Distance: 301.6 meters, Time: 217.2 seconds
Name: -, Instruction: Turn left, Distance: 48.5 meters, Time: 34.9 seconds
Name: -, Instruction: Turn left, Distance: 147.1 meters, Time: 105.9 seconds
Name: -, Instruction: Turn right, Distance: 194.1 meters, Time: 139.7 seconds
Name: Hoek Street, Instruction: Turn right onto Hoek Street, Distance: 88.0 meters, Time: 63.3 seconds
Name: -, Instruction: Turn right, Distance: 13.9 meters, Time: 10.0 seconds
Name: -, Instruction: Keep left, Distance: 65.8 meters, Time: 47.4 seconds
Name: Barend Road, Instruction: Turn right onto Barend Road, Distance: 276.0 meters, Time: 198.7 seconds
Name: Edgar Road, Instruction: Turn right onto Edgar Road, Distance: 386.7 meters, Time: 278.4 seconds
Name: Lower York Road, Instruction: Keep right onto Lower York Road, Distance: 27.0 meters, Time: 19.5 seconds
Name: Pioneer Street, Instruction: Turn left onto Pioneer Street, Distance: 163.0 meters, Time: 117.4 seconds
Name: -, Instruction: Arrive at Pioneer Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
