Name: Beverley Street, Instruction: Head southeast on Beverley Street, Distance: 16.6 meters, Time: 11.9 seconds
Name: -, Instruction: Turn left, Distance: 10.6 meters, Time: 7.6 seconds
Name: -, Instruction: Turn sharp right, Distance: 434.6 meters, Time: 312.9 seconds
Name: -, Instruction: Keep right, Distance: 230.5 meters, Time: 165.9 seconds
Name: -, Instruction: Turn left, Distance: 34.5 meters, Time: 24.8 seconds
Name: -, Instruction: Continue straight, Distance: 22.3 meters, Time: 16.1 seconds
Name: -, Instruction: Turn right, Distance: 80.7 meters, Time: 58.1 seconds
Name: -, Instruction: Turn right, Distance: 126.4 meters, Time: 91.0 seconds
Name: -, Instruction: Turn left, Distance: 9.7 meters, Time: 7.0 seconds
Name: -, Instruction: Turn right, Distance: 616.3 meters, Time: 443.7 seconds
Name: -, Instruction: Turn left, Distance: 9.5 meters, Time: 6.8 seconds
Name: -, Instruction: Turn right, Distance: 67.6 meters, Time: 48.7 seconds
Name: -, Instruction: Turn right, Distance: 12.7 meters, Time: 9.1 seconds
Name: -, Instruction: Turn left, Distance: 79.3 meters, Time: 57.1 seconds
Name: -, Instruction: Turn right, Distance: 38.1 meters, Time: 27.5 seconds
Name: -, Instruction: Keep right, Distance: 40.0 meters, Time: 28.8 seconds
Name: -, Instruction: Turn left, Distance: 60.2 meters, Time: 43.3 seconds
Name: -, Instruction: Turn left, Distance: 45.7 meters, Time: 32.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
