Name: Passage Johannot, Instruction: Head southeast on Passage Johannot, Distance: 36.4 meters, Time: 26.2 seconds
Name: -, Instruction: Keep right, Distance: 394.5 meters, Time: 284.0 seconds
Name: Rue de Paris, Instruction: Turn left onto Rue de Paris, Distance: 344.4 meters, Time: 248.0 seconds
Name: Rue de Paris, Instruction: Keep left onto Rue de Paris, Distance: 591.5 meters, Time: 425.9 seconds
Name: Rue de la Tourelle, Instruction: Turn right onto Rue de la Tourelle, Distance: 15.8 meters, Time: 11.4 seconds
Name: -, Instruction: Turn left, Distance: 62.0 meters, Time: 44.6 seconds
Name: -, Instruction: Turn right, Distance: 29.1 meters, Time: 20.9 seconds
Name: -, Instruction: Turn left, Distance: 12.1 meters, Time: 8.7 seconds
Name: -, Instruction: Keep right, Distance: 45.8 meters, Time: 33.0 seconds
Name: -, Instruction: Turn left, Distance: 93.5 meters, Time: 67.3 seconds
Name: -, Instruction: Turn left, Distance: 5.8 meters, Time: 4.1 seconds
Name: Avenue Ferdinand Buisson, Instruction: Turn right onto Avenue Ferdinand Buisson, Distance: 308.0 meters, Time: 221.8 seconds
Name: Avenue Félix d'Hérelle, Instruction: Continue straight onto Avenue Félix d'Hérelle, Distance: 20.1 meters, Time: 14.5 seconds
Name: Avenue Félix d'Hérelle, Instruction: Turn left onto Avenue Félix d'Hérelle, Distance: 304.0 meters, Time: 218.9 seconds
Name: -, Instruction: Arrive at Avenue Félix d'Hérelle, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
