Name: Gilley Road, Instruction: Head west on Gilley Road, Distance: 218.6 meters, Time: 157.4 seconds
Name: Garratt Boulevard, Instruction: Turn left onto Garratt Boulevard, Distance: 96.7 meters, Time: 69.6 seconds
Name: Plewes Road, Instruction: Turn right onto Plewes Road, Distance: 260.0 meters, Time: 187.2 seconds
Name: Murray Road, Instruction: Turn left onto Murray Road, Distance: 406.8 meters, Time: 292.9 seconds
Name: -, Instruction: Turn right, Distance: 591.8 meters, Time: 426.1 seconds
Name: -, Instruction: Turn right, Distance: 10.4 meters, Time: 7.5 seconds
Name: -, Instruction: Turn left, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Turn right, Distance: 18.9 meters, Time: 13.6 seconds
Name: -, Instruction: Turn left, Distance: 249.4 meters, Time: 179.6 seconds
Name: -, Instruction: Keep right, Distance: 28.4 meters, Time: 20.5 seconds
Name: -, Instruction: Turn right, Distance: 297.8 meters, Time: 214.4 seconds
Name: -, Instruction: Turn left, Distance: 11.2 meters, Time: 8.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
