Name: Tonar Street, Instruction: Head southeast on Tonar Street, Distance: 29.4 meters, Time: 21.2 seconds
Name: Koeke Road, Instruction: Turn right onto Koeke Road, Distance: 104.2 meters, Time: 75.0 seconds
Name: Whakamua Parade, Instruction: Turn right onto Whakamua Parade, Distance: 7.0 meters, Time: 5.0 seconds
Name: -, Instruction: Turn left, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Turn right, Distance: 22.8 meters, Time: 16.4 seconds
Name: Richardson Place, Instruction: Turn left onto Richardson Place, Distance: 51.5 meters, Time: 37.0 seconds
Name: -, Instruction: Turn right, Distance: 5.5 meters, Time: 3.9 seconds
Name: -, Instruction: Turn left, Distance: 19.6 meters, Time: 14.1 seconds
Name: -, Instruction: Turn right, Distance: 31.4 meters, Time: 22.6 seconds
Name: -, Instruction: Turn left, Distance: 7.5 meters, Time: 5.4 seconds
Name: Fraser Avenue, Instruction: Turn right onto Fraser Avenue, Distance: 34.5 meters, Time: 24.8 seconds
Name: -, Instruction: Turn left, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Turn right, Distance: 39.6 meters, Time: 28.5 seconds
Name: -, Instruction: Turn left, Distance: 15.1 meters, Time: 10.9 seconds
Name: -, Instruction: Turn right, Distance: 15.5 meters, Time: 11.1 seconds
Name: -, Instruction: Turn left, Distance: 69.6 meters, Time: 50.1 seconds
Name: -, Instruction: Keep left, Distance: 131.5 meters, Time: 94.7 seconds
Name: -, Instruction: Continue straight, Distance: 189.2 meters, Time: 136.2 seconds
Name: -, Instruction: Continue straight, Distance: 3.4 meters, Time: 2.5 seconds
Name: -, Instruction: Continue straight, Distance: 139.8 meters, Time: 100.7 seconds
Name: -, Instruction: Turn left, Distance: 9.2 meters, Time: 6.6 seconds
Name: -, Instruction: Turn left, Distance: 64.6 meters, Time: 46.5 seconds
Name: -, Instruction: Turn slight right, Distance: 55.8 meters, Time: 40.2 seconds
Name: -, Instruction: Keep left, Distance: 12.5 meters, Time: 9.0 seconds
Name: -, Instruction: Turn sharp left, Distance: 13.2 meters, Time: 9.5 seconds
Name: -, Instruction: Turn sharp right, Distance: 65.6 meters, Time: 47.2 seconds
Name: -, Instruction: Turn left, Distance: 41.0 meters, Time: 29.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
