Name: Place des Provinces, Instruction: Head west on Place des Provinces, Distance: 66.3 meters, Time: 47.7 seconds
Name: Avenue Victor Hugo, Instruction: Turn sharp right onto Avenue Victor Hugo, Distance: 99.2 meters, Time: 71.4 seconds
Name: Rue Louis Vicat, Instruction: Turn sharp left onto Rue Louis Vicat, Distance: 77.4 meters, Time: 55.8 seconds
Name: -, Instruction: Turn right, Distance: 58.5 meters, Time: 42.1 seconds
Name: -, Instruction: Turn left, Distance: 31.9 meters, Time: 23.0 seconds
Name: -, Instruction: Keep left, Distance: 29.7 meters, Time: 21.4 seconds
Name: -, Instruction: Turn slight left, Distance: 20.2 meters, Time: 14.5 seconds
Name: Avenue de la Porte de la Plaine, Instruction: Turn slight right onto Avenue de la Porte de la Plaine, Distance: 170.7 meters, Time: 122.9 seconds
Name: -, Instruction: Turn left, Distance: 119.4 meters, Time: 85.9 seconds
Name: -, Instruction: Turn right, Distance: 2.7 meters, Time: 2.0 seconds
Name: -, Instruction: Turn slight left, Distance: 32.3 meters, Time: 23.3 seconds
Name: -, Instruction: Turn left, Distance: 31.3 meters, Time: 22.6 seconds
Name: -, Instruction: Keep right, Distance: 39.3 meters, Time: 28.3 seconds
Name: Rue Lefebvre, Instruction: Turn right onto Rue Lefebvre, Distance: 2.8 meters, Time: 2.0 seconds
Name: Boulevard Lefebvre, Instruction: Turn left onto Boulevard Lefebvre, Distance: 285.9 meters, Time: 205.8 seconds
Name: -, Instruction: Turn right, Distance: 59.6 meters, Time: 42.9 seconds
Name: -, Instruction: Turn left, Distance: 15.9 meters, Time: 11.4 seconds
Name: -, Instruction: Turn right, Distance: 6.3 meters, Time: 4.6 seconds
Name: -, Instruction: Turn right, Distance: 22.0 meters, Time: 15.8 seconds
Name: -, Instruction: Turn sharp left, Distance: 200.3 meters, Time: 144.2 seconds
Name: -, Instruction: Turn right, Distance: 40.8 meters, Time: 29.4 seconds
Name: -, Instruction: Turn left, Distance: 8.4 meters, Time: 6.1 seconds
Name: -, Instruction: Turn right, Distance: 10.1 meters, Time: 7.3 seconds
Name: -, Instruction: Turn left, Distance: 44.5 meters, Time: 32.0 seconds
Name: -, Instruction: Turn left, Distance: 9.5 meters, Time: 6.8 seconds
Name: -, Instruction: Turn right, Distance: 28.6 meters, Time: 20.6 seconds
Name: -, Instruction: Turn right, Distance: 17.4 meters, Time: 12.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
