Name: Gärtnerweg, Instruction: Head northeast on Gärtnerweg, Distance: 7.9 meters, Time: 5.7 seconds
Name: -, Instruction: Turn right, Distance: 67.6 meters, Time: 48.6 seconds
Name: Wacholderweg, Instruction: Turn right onto Wacholderweg, Distance: 56.0 meters, Time: 40.3 seconds
Name: -, Instruction: Enter the roundabout and take the 1st exit, Distance: 24.9 meters, Time: 17.9 seconds
Name: -, Instruction: Turn slight right, Distance: 3.2 meters, Time: 2.3 seconds
Name: -, Instruction: Turn left, Distance: 41.6 meters, Time: 29.9 seconds
Name: Münchner Straße, Instruction: Turn left onto Münchner Straße, Distance: 11.1 meters, Time: 8.0 seconds
Name: Münchner Straße, Instruction: Turn slight left onto Münchner Straße, Distance: 354.1 meters, Time: 254.9 seconds
Name: -, Instruction: Keep left, Distance: 46.5 meters, Time: 33.5 seconds
Name: -, Instruction: Turn left, Distance: 397.1 meters, Time: 285.9 seconds
Name: -, Instruction: Turn right, Distance: 301.2 meters, Time: 216.9 seconds
Name: Karlsfelder Straße, Instruction: Turn left onto Karlsfelder Straße, Distance: 285.7 meters, Time: 205.7 seconds
Name: Kristallstraße, Instruction: Turn right onto Kristallstraße, Distance: 53.5 meters, Time: 38.5 seconds
Name: -, Instruction: Turn left, Distance: 176.1 meters, Time: 126.8 seconds
Name: Achatstraße, Instruction: Turn right onto Achatstraße, Distance: 49.3 meters, Time: 35.5 seconds
Name: Onyxplatz, Instruction: Turn left onto Onyxplatz, Distance: 11.1 meters, Time: 8.0 seconds
Name: -, Instruction: Turn right, Distance: 73.2 meters, Time: 52.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
