Name: Calypso Way, Instruction: Head west on Calypso Way, Distance: 12.0 meters, Time: 8.7 seconds
Name: -, Instruction: Turn left, Distance: 5.5 meters, Time: 3.9 seconds
Name: -, Instruction: Turn left, Distance: 416.7 meters, Time: 300.0 seconds
Name: -, Instruction: Turn left, Distance: 18.8 meters, Time: 13.5 seconds
Name: -, Instruction: Turn right, Distance: 210.5 meters, Time: 151.6 seconds
Name: -, Instruction: Turn right, Distance: 5.6 meters, Time: 4.0 seconds
Name: Caribbean Drive, Instruction: Turn left onto Caribbean Drive, Distance: 14.5 meters, Time: 10.4 seconds
Name: Target Road, Instruction: Enter the roundabout and take the 3rd exit onto Target Road, Distance: 53.3 meters, Time: 38.4 seconds
Name: -, Instruction: Turn right, Distance: 6.6 meters, Time: 4.7 seconds
Name: -, Instruction: Turn left, Distance: 243.1 meters, Time: 175.0 seconds
Name: -, Instruction: Keep left, Distance: 18.5 meters, Time: 13.3 seconds
Name: -, Instruction: Turn slight left, Distance: 666.0 meters, Time: 479.5 seconds
Name: -, Instruction: Keep left, Distance: 11.8 meters, Time: 8.5 seconds
Name: -, Instruction: Turn left, Distance: 226.9 meters, Time: 163.4 seconds
Name: -, Instruction: Turn left, Distance: 13.6 meters, Time: 9.8 seconds
Name: -, Instruction: Turn left, Distance: 483.3 meters, Time: 347.9 seconds
Name: -, Instruction: Turn right, Distance: 10.8 meters, Time: 7.7 seconds
Name: -, Instruction: Turn right, Distance: 49.3 meters, Time: 35.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
