Name: Avenida Emiliano Zapata, Instruction: Head north on Avenida Emiliano Zapata, Distance: 55.1 meters, Time: 39.6 seconds
Name: -, Instruction: Turn sharp left, Distance: 26.0 meters, Time: 18.7 seconds
Name: -, Instruction: Keep left, Distance: 159.6 meters, Time: 114.9 seconds
Name: -, Instruction: Turn left, Distance: 250.1 meters, Time: 180.0 seconds
Name: Calle Arturo Castro, Instruction: Turn right onto Calle Arturo Castro, Distance: 184.1 meters, Time: 132.5 seconds
Name: Calle Río San Pedro, Instruction: Turn left onto Calle Río San Pedro, Distance: 63.2 meters, Time: 45.5 seconds
Name: Calle Río Santa María, Instruction: Turn right onto Calle Río Santa María, Distance: 349.6 meters, Time: 251.7 seconds
Name: Calle Río Santa María, Instruction: Turn left onto Calle Río Santa María, Distance: 200.2 meters, Time: 144.1 seconds
Name: -, Instruction: Turn slight right, Distance: 12.8 meters, Time: 9.2 seconds
Name: Calle Río San Javier, Instruction: Turn slight right onto Calle Río San Javier, Distance: 54.7 meters, Time: 39.4 seconds
Name: -, Instruction: Turn left, Distance: 19.2 meters, Time: 13.8 seconds
Name: -, Instruction: Continue straight, Distance: 11.3 meters, Time: 8.1 seconds
Name: Calle Río San Javier, Instruction: Turn right onto Calle Río San Javier, Distance: 364.5 meters, Time: 262.4 seconds
Name: Avenida Ventisca, Instruction: Turn left onto Avenida Ventisca, Distance: 135.6 meters, Time: 97.7 seconds
Name: Avenida Ventisca, Instruction: Keep right onto Avenida Ventisca, Distance: 57.9 meters, Time: 41.7 seconds
Name: Avenida Luis Espinoza, Instruction: Turn slight left onto Avenida Luis Espinoza, Distance: 116.6 meters, Time: 84.0 seconds
Name: -, Instruction: Turn right, Distance: 8.1 meters, Time: 5.8 seconds
Name: Avenida Ventisca, Instruction: Turn left onto Avenida Ventisca, Distance: 152.4 meters, Time: 109.7 seconds
Name: -, Instruction: Turn left, Distance: 9.5 meters, Time: 6.9 seconds
Name: -, Instruction: Turn right, Distance: 63.7 meters, Time: 45.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
