Name: Centenary Square, Instruction: Head south on Centenary Square, Distance: 28.5 meters, Time: 20.5 seconds
Name: -, Instruction: Turn left, Distance: 8.4 meters, Time: 6.1 seconds
Name: Church Street, Instruction: Turn right onto Church Street, Distance: 22.2 meters, Time: 16.0 seconds
Name: -, Instruction: Turn left, Distance: 12.5 meters, Time: 9.0 seconds
Name: -, Instruction: Keep left, Distance: 339.1 meters, Time: 244.1 seconds
Name: -, Instruction: Turn sharp right, Distance: 24.1 meters, Time: 17.3 seconds
Name: -, Instruction: Turn left, Distance: 13.7 meters, Time: 9.9 seconds
Name: -, Instruction: Turn right, Distance: 115.6 meters, Time: 83.2 seconds
Name: -, Instruction: Turn right, Distance: 22.4 meters, Time: 16.1 seconds
Name: -, Instruction: Turn sharp left, Distance: 150.6 meters, Time: 108.5 seconds
Name: -, Instruction: Turn right, Distance: 33.4 meters, Time: 24.0 seconds
Name: -, Instruction: Turn right, Distance: 7.6 meters, Time: 5.4 seconds
Name: Kendall Street, Instruction: Turn sharp left onto Kendall Street, Distance: 17.8 meters, Time: 12.8 seconds
Name: -, Instruction: Turn right, Distance: 54.2 meters, Time: 39.0 seconds
Name: Una Street, Instruction: Turn left onto Una Street, Distance: 35.0 meters, Time: 25.2 seconds
Name: Gordon McKinnon Lane, Instruction: Turn right onto Gordon McKinnon Lane, Distance: 5.5 meters, Time: 4.0 seconds
Name: -, Instruction: Turn left, Distance: 112.0 meters, Time: 80.6 seconds
Name: -, Instruction: Turn right, Distance: 73.0 meters, Time: 52.5 seconds
Name: -, Instruction: Turn left, Distance: 18.5 meters, Time: 13.3 seconds
Name: -, Instruction: Turn right, Distance: 12.8 meters, Time: 9.2 seconds
Name: -, Instruction: Turn right, Distance: 9.7 meters, Time: 7.0 seconds
Name: Alice Street, Instruction: Turn left onto Alice Street, Distance: 482.3 meters, Time: 347.3 seconds
Name: -, Instruction: Turn right, Distance: 9.2 meters, Time: 6.6 seconds
Name: -, Instruction: Turn left, Distance: 103.0 meters, Time: 74.2 seconds
Name: -, Instruction: Turn left, Distance: 17.3 meters, Time: 12.5 seconds
Name: -, Instruction: Turn right, Distance: 19.3 meters, Time: 13.9 seconds
Name: Weston Street, Instruction: Turn left onto Weston Street, Distance: 197.3 meters, Time: 142.1 seconds
Name: Weston Street, Instruction: Enter the roundabout and take the 2nd exit onto Weston Street, Distance: 150.6 meters, Time: 108.5 seconds
Name: -, Instruction: Turn right, Distance: 21.1 meters, Time: 15.2 seconds
Name: -, Instruction: Turn left, Distance: 17.6 meters, Time: 12.6 seconds
Name: -, Instruction: Turn right, Distance: 78.3 meters, Time: 56.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
