Name: Rue Léon Frot, Instruction: Head southeast on Rue Léon Frot, Distance: 77.2 meters, Time: 55.6 seconds
Name: -, Instruction: Turn right, Distance: 5.5 meters, Time: 3.9 seconds
Name: -, Instruction: Turn left, Distance: 3.2 meters, Time: 2.3 seconds
Name: -, Instruction: Turn right, Distance: 1.3 meters, Time: 1.0 seconds
Name: -, Instruction: Turn left, Distance: 4.7 meters, Time: 3.4 seconds
Name: Cité de Phalsbourg, Instruction: Turn right onto Cité de Phalsbourg, Distance: 154.4 meters, Time: 111.2 seconds
Name: Boulevard Voltaire, Instruction: Turn left onto Boulevard Voltaire, Distance: 2.1 meters, Time: 1.5 seconds
Name: Impasse Bon Secours, Instruction: Turn right onto Impasse Bon Secours, Distance: 12.1 meters, Time: 8.7 seconds
Name: -, Instruction: Turn left, Distance: 86.6 meters, Time: 62.4 seconds
Name: -, Instruction: Turn right, Distance: 195.0 meters, Time: 140.4 seconds
Name: -, Instruction: Keep right, Distance: 52.1 meters, Time: 37.5 seconds
Name: -, Instruction: Turn slight left, Distance: 1.6 meters, Time: 1.2 seconds
Name: -, Instruction: Turn right, Distance: 115.9 meters, Time: 83.4 seconds
Name: -, Instruction: Turn left, Distance: 7.2 meters, Time: 5.2 seconds
Name: -, Instruction: Turn left, Distance: 86.4 meters, Time: 62.2 seconds
Name: -, Instruction: Turn left, Distance: 8.4 meters, Time: 6.1 seconds
Name: -, Instruction: Turn right, Distance: 136.8 meters, Time: 98.5 seconds
Name: -, Instruction: Turn slight left, Distance: 7.7 meters, Time: 5.5 seconds
Name: -, Instruction: Keep right, Distance: 14.1 meters, Time: 10.2 seconds
Name: -, Instruction: Turn left, Distance: 66.7 meters, Time: 48.0 seconds
Name: -, Instruction: Turn slight left, Distance: 5.1 meters, Time: 3.7 seconds
Name: -, Instruction: Keep right, Distance: 135.8 meters, Time: 97.8 seconds
Name: -, Instruction: Turn slight right, Distance: 11.2 meters, Time: 8.1 seconds
Name: -, Instruction: Turn left, Distance: 15.9 meters, Time: 11.4 seconds
Name: -, Instruction: Turn left, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Turn right, Distance: 215.9 meters, Time: 155.5 seconds
Name: -, Instruction: Turn left, Distance: 156.6 meters, Time: 112.8 seconds
Name: -, Instruction: Turn sharp left, Distance: 1.7 meters, Time: 1.2 seconds
Name: Avenue Ledru-Rollin, Instruction: Turn sharp right onto Avenue Ledru-Rollin, Distance: 27.2 meters, Time: 19.6 seconds
Name: -, Instruction: Turn right, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Turn left, Distance: 71.2 meters, Time: 51.3 seconds
Name: -, Instruction: Turn slight right, Distance: 3.8 meters, Time: 2.7 seconds
Name: -, Instruction: Turn slight left, Distance: 22.4 meters, Time: 16.1 seconds
Name: -, Instruction: Keep right, Distance: 177.8 meters, Time: 128.1 seconds
Name: -, Instruction: Turn slight left, Distance: 7.0 meters, Time: 5.0 seconds
Name: -, Instruction: Turn right, Distance: 15.9 meters, Time: 11.4 seconds
Name: -, Instruction: Turn left, Distance: 157.6 meters, Time: 113.4 seconds
Name: -, Instruction: Turn right, Distance: 7.3 meters, Time: 5.3 seconds
Name: -, Instruction: Turn left, Distance: 15.5 meters, Time: 11.1 seconds
Name: -, Instruction: Turn left, Distance: 8.2 meters, Time: 5.9 seconds
Name: -, Instruction: Turn right, Distance: 11.4 meters, Time: 8.2 seconds
Name: Place Mazas, Instruction: Turn left onto Place Mazas, Distance: 48.6 meters, Time: 35.0 seconds
Name: -, Instruction: Turn left, Distance: 191.8 meters, Time: 138.1 seconds
Name: -, Instruction: Turn left, Distance: 13.4 meters, Time: 9.6 seconds
Name: -, Instruction: Turn right, Distance: 93.0 meters, Time: 67.0 seconds
Name: -, Instruction: Turn left, Distance: 15.4 meters, Time: 11.1 seconds
Name: -, Instruction: Turn left, Distance: 25.4 meters, Time: 18.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
