Name: Colborne Lodge Drive, Instruction: Head north on Colborne Lodge Drive, Distance: 0.3 meters, Time: 0.2 seconds
Name: -, Instruction: Turn right, Distance: 8.8 meters, Time: 6.3 seconds
Name: -, Instruction: Turn right, Distance: 49.1 meters, Time: 35.3 seconds
Name: -, Instruction: Turn left, Distance: 32.6 meters, Time: 23.5 seconds
Name: -, Instruction: Turn right, Distance: 79.3 meters, Time: 57.1 seconds
Name: -, Instruction: Turn right, Distance: 78.2 meters, Time: 56.3 seconds
Name: -, Instruction: Turn slight right, Distance: 14.3 meters, Time: 10.3 seconds
Name: Allotment Lane, Instruction: Turn sharp left onto Allotment Lane, Distance: 270.8 meters, Time: 195.0 seconds
Name: -, Instruction: Turn left, Distance: 168.0 meters, Time: 120.9 seconds
Name: -, Instruction: Turn left, Distance: 253.4 meters, Time: 182.4 seconds
Name: -, Instruction: Turn right, Distance: 12.6 meters, Time: 9.1 seconds
Name: -, Instruction: Turn slight left, Distance: 49.5 meters, Time: 35.7 seconds
Name: -, Instruction: Turn right, Distance: 80.3 meters, Time: 57.8 seconds
Name: -, Instruction: Turn sharp right, Distance: 93.7 meters, Time: 67.4 seconds
Name: Wright Avenue, Instruction: Turn left onto Wright Avenue, Distance: 396.9 meters, Time: 285.8 seconds
Name: -, Instruction: Turn right, Distance: 4.1 meters, Time: 2.9 seconds
Name: -, Instruction: Turn left, Distance: 0.7 meters, Time: 0.5 seconds
Name: -, Instruction: Turn right, Distance: 60.3 meters, Time: 43.4 seconds
Name: -, Instruction: Turn left, Distance: 4.0 meters, Time: 2.9 seconds
Name: Sunnyside Avenue, Instruction: Turn right onto Sunnyside Avenue, Distance: 131.6 meters, Time: 94.7 seconds
Name: -, Instruction: Turn left, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Turn slight right, Distance: 2.1 meters, Time: 1.5 seconds
Name: -, Instruction: Turn slight left, Distance: 126.4 meters, Time: 91.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
