Name: Square de Luynes, Instruction: Head northwest on Square de Luynes, Distance: 46.6 meters, Time: 33.5 seconds
Name: Rue de Luynes, Instruction: Turn left onto Rue de Luynes, Distance: 28.1 meters, Time: 20.3 seconds
Name: -, Instruction: Keep left, Distance: 21.3 meters, Time: 15.3 seconds
Name: -, Instruction: Turn right, Distance: 25.9 meters, Time: 18.6 seconds
Name: -, Instruction: Turn left, Distance: 4.4 meters, Time: 3.2 seconds
Name: -, Instruction: Turn left, Distance: 12.9 meters, Time: 9.3 seconds
Name: -, Instruction: Turn left, Distance: 104.5 meters, Time: 75.3 seconds
Name: -, Instruction: Turn right, Distance: 2.4 meters, Time: 1.8 seconds
Name: -, Instruction: Turn left, Distance: 12.8 meters, Time: 9.2 seconds
Name: -, Instruction: Turn slight left, Distance: 122.9 meters, Time: 88.5 seconds
Name: -, Instruction: Turn left, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Keep right, Distance: 55.4 meters, Time: 39.9 seconds
Name: -, Instruction: Turn right, Distance: 3.1 meters, Time: 2.3 seconds
Name: -, Instruction: Turn left, Distance: 16.4 meters, Time: 11.8 seconds
Name: -, Instruction: Turn left, Distance: 34.5 meters, Time: 24.9 seconds
Name: -, Instruction: Keep right, Distance: 123.3 meters, Time: 88.8 seconds
Name: -, Instruction: Turn slight left, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Turn slight right, Distance: 413.2 meters, Time: 297.5 seconds
Name: -, Instruction: Turn right, Distance: 3.3 meters, Time: 2.4 seconds
Name: -, Instruction: Turn left, Distance: 49.3 meters, Time: 35.5 seconds
Name: -, Instruction: Turn left, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
