Name: Canberra Lane, Instruction: Head northeast on Canberra Lane, Distance: 148.8 meters, Time: 107.2 seconds
Name: Canberra Link, Instruction: Keep right onto Canberra Link, Distance: 6.9 meters, Time: 5.0 seconds
Name: Yishun Park Connector, Instruction: Turn right onto Yishun Park Connector, Distance: 5.1 meters, Time: 3.7 seconds
Name: -, Instruction: Turn left, Distance: 37.2 meters, Time: 26.8 seconds
Name: -, Instruction: Turn right, Distance: 27.8 meters, Time: 20.0 seconds
Name: -, Instruction: Turn left, Distance: 169.7 meters, Time: 122.2 seconds
Name: -, Instruction: Turn right, Distance: 51.5 meters, Time: 37.1 seconds
Name: -, Instruction: Turn left, Distance: 3.8 meters, Time: 2.7 seconds
Name: Canberra Crescent, Instruction: Turn right onto Canberra Crescent, Distance: 58.0 meters, Time: 41.8 seconds
Name: Canberra Crescent, Instruction: Continue straight onto Canberra Crescent, Distance: 58.0 meters, Time: 41.7 seconds
Name: -, Instruction: Turn left, Distance: 9.8 meters, Time: 7.0 seconds
Name: Canberra Crescent, Instruction: Turn right onto Canberra Crescent, Distance: 67.7 meters, Time: 48.8 seconds
Name: -, Instruction: Turn left, Distance: 19.8 meters, Time: 14.3 seconds
Name: -, Instruction: Turn right, Distance: 2.1 meters, Time: 1.5 seconds
Name: -, Instruction: Arrive at your destination, on the left, Distance: 0.0 meters, Time: 0.0 seconds
