Name: Percival Road, Instruction: Head southwest on Percival Road, Distance: 267.6 meters, Time: 192.6 seconds
Name: Christchurch Road, Instruction: Turn right onto Christchurch Road, Distance: 27.6 meters, Time: 19.9 seconds
Name: Fife Road, Instruction: Turn left onto Fife Road, Distance: 125.7 meters, Time: 90.5 seconds
Name: -, Instruction: Turn right, Distance: 3.8 meters, Time: 2.7 seconds
Name: -, Instruction: Keep right, Distance: 24.8 meters, Time: 17.9 seconds
Name: -, Instruction: Keep left, Distance: 122.6 meters, Time: 88.3 seconds
Name: -, Instruction: Turn left, Distance: 110.1 meters, Time: 79.2 seconds
Name: -, Instruction: Keep right, Distance: 431.0 meters, Time: 310.3 seconds
Name: Bog Lane, Instruction: Turn left onto Bog Lane, Distance: 13.8 meters, Time: 9.9 seconds
Name: -, Instruction: Keep right, Distance: 2.3 meters, Time: 1.7 seconds
Name: -, Instruction: Turn right, Distance: 110.6 meters, Time: 79.6 seconds
Name: -, Instruction: Keep left, Distance: 67.7 meters, Time: 48.7 seconds
Name: -, Instruction: Keep right, Distance: 241.3 meters, Time: 173.7 seconds
Name: -, Instruction: Keep right, Distance: 86.6 meters, Time: 62.3 seconds
Name: -, Instruction: Turn left, Distance: 173.9 meters, Time: 125.2 seconds
Name: -, Instruction: Keep right, Distance: 78.6 meters, Time: 56.6 seconds
Name: -, Instruction: Keep right, Distance: 305.2 meters, Time: 219.7 seconds
Name: -, Instruction: Keep left, Distance: 154.6 meters, Time: 111.3 seconds
Name: The Tamsin Trail, Instruction: Turn left onto The Tamsin Trail, Distance: 50.3 meters, Time: 36.2 seconds
Name: -, Instruction: Turn right, Distance: 28.7 meters, Time: 20.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
