Name: Memorial Park Avenue, Instruction: Head east on Memorial Park Avenue, Distance: 240.4 meters, Time: 173.1 seconds
Name: -, Instruction: Turn left, Distance: 10.7 meters, Time: 7.7 seconds
Name: -, Instruction: Turn right, Distance: 15.8 meters, Time: 11.4 seconds
Name: -, Instruction: Turn sharp left, Distance: 3.7 meters, Time: 2.7 seconds
Name: -, Instruction: Turn sharp right, Distance: 37.6 meters, Time: 27.1 seconds
Name: -, Instruction: Turn left, Distance: 83.0 meters, Time: 59.8 seconds
Name: Durant Avenue, Instruction: Turn left onto Durant Avenue, Distance: 139.6 meters, Time: 100.5 seconds
Name: -, Instruction: Turn right, Distance: 70.2 meters, Time: 50.6 seconds
Name: -, Instruction: Keep left, Distance: 83.9 meters, Time: 60.4 seconds
Name: -, Instruction: Turn left, Distance: 207.1 meters, Time: 149.1 seconds
Name: -, Instruction: Turn right, Distance: 17.4 meters, Time: 12.5 seconds
Name: -, Instruction: Turn left, Distance: 329.6 meters, Time: 237.3 seconds
Name: Binswood Avenue, Instruction: Turn left onto Binswood Avenue, Distance: 5.1 meters, Time: 3.7 seconds
Name: Plains Road, Instruction: Turn right onto Plains Road, Distance: 482.9 meters, Time: 347.7 seconds
Name: -, Instruction: Turn left, Distance: 83.4 meters, Time: 60.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
