Name: Calle 39, Instruction: Head northeast on Calle 39, Distance: 33.7 meters, Time: 24.3 seconds
Name: Avenida 16, Instruction: Turn left onto Avenida 16, Distance: 565.3 meters, Time: 407.0 seconds
Name: Jesús Galindo y Villa, Instruction: Turn right onto Jesús Galindo y Villa, Distance: 16.7 meters, Time: 12.1 seconds
Name: -, Instruction: Turn right, Distance: 107.4 meters, Time: 77.3 seconds
Name: Jesús Galindo y Villa, Instruction: Turn right onto Jesús Galindo y Villa, Distance: 564.6 meters, Time: 406.5 seconds
Name: -, Instruction: Turn right, Distance: 34.6 meters, Time: 24.9 seconds
Name: -, Instruction: Turn left, Distance: 240.5 meters, Time: 173.2 seconds
Name: -, Instruction: Turn left, Distance: 31.1 meters, Time: 22.4 seconds
Name: Jesús Galindo y Villa, Instruction: Turn right onto Jesús Galindo y Villa, Distance: 49.5 meters, Time: 35.6 seconds
Name: Lateral Norte C. Robelo, Instruction: Turn left onto Lateral Norte C. Robelo, Distance: 146.3 meters, Time: 105.4 seconds
Name: -, Instruction: Turn right, Distance: 55.0 meters, Time: 39.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
