Name: Graham Street, Instruction: Head south on Graham Street, Distance: 111.2 meters, Time: 80.0 seconds
Name: Victoria Street West Cycleway, Instruction: Turn left onto Victoria Street West Cycleway, Distance: 20.1 meters, Time: 14.5 seconds
Name: -, Instruction: Turn right, Distance: 2.7 meters, Time: 2.0 seconds
Name: -, Instruction: Turn left, Distance: 36.3 meters, Time: 26.1 seconds
Name: -, Instruction: Turn right, Distance: 590.3 meters, Time: 425.0 seconds
Name: -, Instruction: Turn left, Distance: 3.2 meters, Time: 2.3 seconds
Name: Nelson Street, Instruction: Turn right onto Nelson Street, Distance: 94.1 meters, Time: 67.8 seconds
Name: -, Instruction: Turn left, Distance: 105.4 meters, Time: 75.9 seconds
Name: -, Instruction: Turn left, Distance: 10.4 meters, Time: 7.5 seconds
Name: -, Instruction: Turn right, Distance: 104.6 meters, Time: 75.3 seconds
Name: -, Instruction: Turn right, Distance: 8.8 meters, Time: 6.3 seconds
Name: -, Instruction: Turn sharp left, Distance: 7.6 meters, Time: 5.5 seconds
Name: -, Instruction: Keep left, Distance: 16.4 meters, Time: 11.8 seconds
Name: -, Instruction: Turn slight right, Distance: 2.8 meters, Time: 2.0 seconds
Name: -, Instruction: Keep left, Distance: 78.0 meters, Time: 56.2 seconds
Name: -, Instruction: Turn right, Distance: 19.5 meters, Time: 14.1 seconds
Name: -, Instruction: Turn right, Distance: 184.9 meters, Time: 133.1 seconds
Name: -, Instruction: Turn slight left, Distance: 3.0 meters, Time: 2.2 seconds
Name: -, Instruction: Turn right, Distance: 95.6 meters, Time: 68.8 seconds
Name: -, Instruction: Keep right, Distance: 4.0 meters, Time: 2.9 seconds
Name: Mercury Lane, Instruction: Turn slight left onto Mercury Lane, Distance: 116.1 meters, Time: 83.6 seconds
Name: Canada Street, Instruction: Turn slight left onto Canada Street, Distance: 72.9 meters, Time: 52.5 seconds
Name: -, Instruction: Turn right, Distance: 12.0 meters, Time: 8.6 seconds
Name: -, Instruction: Turn slight left, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Turn left, Distance: 19.6 meters, Time: 14.1 seconds
Name: -, Instruction: Turn right, Distance: 75.9 meters, Time: 54.6 seconds
Name: -, Instruction: Turn left, Distance: 30.8 meters, Time: 22.1 seconds
Name: -, Instruction: Turn left, Distance: 152.9 meters, Time: 110.1 seconds
Name: -, Instruction: Turn right, Distance: 290.5 meters, Time: 209.2 seconds
Name: -, Instruction: Turn slight right, Distance: 0.8 meters, Time: 0.6 seconds
Name: -, Instruction: Turn left, Distance: 22.2 meters, Time: 16.0 seconds
Name: -, Instruction: Turn left, Distance: 0.7 meters, Time: 0.5 seconds
Name: -, Instruction: Turn left, Distance: 30.0 meters, Time: 21.6 seconds
Name: -, Instruction: Turn right, Distance: 15.9 meters, Time: 11.4 seconds
Name: -, Instruction: Turn left, Distance: 48.4 meters, Time: 34.9 seconds
Name: -, Instruction: Turn left, Distance: 9.9 meters, Time: 7.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
