Name: West Tāmaki Road, Instruction: Head west on West Tāmaki Road, Distance: 139.9 meters, Time: 100.8 seconds
Name: -, Instruction: Turn left, Distance: 118.5 meters, Time: 85.4 seconds
Name: Torrington Crescent, Instruction: Turn right onto Torrington Crescent, Distance: 251.1 meters, Time: 180.8 seconds
Name: Merfield Street, Instruction: Turn right onto Merfield Street, Distance: 116.8 meters, Time: 84.1 seconds
Name: Castledine Crescent, Instruction: Turn left onto Castledine Crescent, Distance: 96.1 meters, Time: 69.2 seconds
Name: Eastview Road, Instruction: Turn left onto Eastview Road, Distance: 8.7 meters, Time: 6.3 seconds
Name: -, Instruction: Turn right, Distance: 69.1 meters, Time: 49.8 seconds
Name: -, Instruction: Turn left, Distance: 11.9 meters, Time: 8.6 seconds
Name: -, Instruction: Continue straight, Distance: 18.3 meters, Time: 13.2 seconds
Name: -, Instruction: Continue straight, Distance: 425.7 meters, Time: 306.5 seconds
Name: -, Instruction: Turn right, Distance: 8.7 meters, Time: 6.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
