Name: Sheridan Avenue, Instruction: Head south on Sheridan Avenue, Distance: 6.3 meters, Time: 4.5 seconds
Name: -, Instruction: Turn right, Distance: 148.3 meters, Time: 106.8 seconds
Name: -, Instruction: Turn left, Distance: 17.0 meters, Time: 12.2 seconds
Name: -, Instruction: Turn right, Distance: 11.3 meters, Time: 8.1 seconds
Name: -, Instruction: Turn left, Distance: 1.6 meters, Time: 1.1 seconds
Name: -, Instruction: Keep left, Distance: 451.2 meters, Time: 324.9 seconds
Name: -, Instruction: Turn slight left, Distance: 73.0 meters, Time: 52.5 seconds
Name: -, Instruction: Turn slight left, Distance: 87.6 meters, Time: 63.1 seconds
Name: -, Instruction: Turn right, Distance: 50.5 meters, Time: 36.4 seconds
Name: -, Instruction: Keep left, Distance: 43.2 meters, Time: 31.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
