Name: Deerubbin Drive, Instruction: Head east on Deerubbin Drive, Distance: 161.6 meters, Time: 116.4 seconds
Name: -, Instruction: Turn right, Distance: 9.6 meters, Time: 6.9 seconds
Name: -, Instruction: Turn left, Distance: 310.2 meters, Time: 223.3 seconds
Name: -, Instruction: Turn sharp right, Distance: 89.3 meters, Time: 64.3 seconds
Name: -, Instruction: Turn left, Distance: 104.8 meters, Time: 75.4 seconds
Name: -, Instruction: Continue straight, Distance: 6.1 meters, Time: 4.4 seconds
Name: Tall Trees Drive, Instruction: Turn left onto Tall Trees Drive, Distance: 8.4 meters, Time: 6.0 seconds
Name: Blue View Terrace, Instruction: Turn right onto Blue View Terrace, Distance: 351.8 meters, Time: 253.3 seconds
Name: Branksome Way, Instruction: Turn right onto Branksome Way, Distance: 187.2 meters, Time: 134.8 seconds
Name: -, Instruction: Turn left, Distance: 130.9 meters, Time: 94.2 seconds
Name: Ridgetop Drive, Instruction: Turn right onto Ridgetop Drive, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Enter the roundabout and take the 1st exit, Distance: 17.9 meters, Time: 12.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
