Name: Warren Road, Instruction: Head south on Warren Road, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Turn right, Distance: 394.1 meters, Time: 283.7 seconds
Name: -, Instruction: Turn slight left, Distance: 3.1 meters, Time: 2.2 seconds
Name: -, Instruction: Keep right, Distance: 410.5 meters, Time: 295.6 seconds
Name: Wells Hill Avenue, Instruction: Turn right onto Wells Hill Avenue, Distance: 30.8 meters, Time: 22.2 seconds
Name: -, Instruction: Turn left, Distance: 11.2 meters, Time: 8.1 seconds
Name: -, Instruction: Turn right, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Turn left, Distance: 335.4 meters, Time: 241.5 seconds
Name: -, Instruction: Keep left, Distance: 15.6 meters, Time: 11.3 seconds
Name: -, Instruction: Turn sharp right, Distance: 7.3 meters, Time: 5.3 seconds
Name: -, Instruction: Turn left, Distance: 38.1 meters, Time: 27.4 seconds
Name: Theo Aben Lane, Instruction: Turn left onto Theo Aben Lane, Distance: 112.3 meters, Time: 80.9 seconds
Name: -, Instruction: Arrive at Theo Aben Lane, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
