Name: Meredith Street, Instruction: Head southeast on Meredith Street, Distance: 228.7 meters, Time: 164.7 seconds
Name: -, Instruction: Continue straight, Distance: 153.7 meters, Time: 110.7 seconds
Name: -, Instruction: Turn right, Distance: 101.3 meters, Time: 72.9 seconds
Name: -, Instruction: Turn left, Distance: 17.2 meters, Time: 12.4 seconds
Name: -, Instruction: Turn right, Distance: 14.3 meters, Time: 10.3 seconds
Name: -, Instruction: Turn left, Distance: 136.8 meters, Time: 98.5 seconds
Name: -, Instruction: Turn sharp right, Distance: 8.2 meters, Time: 5.9 seconds
Name: Kay Drive, Instruction: Turn sharp left onto Kay Drive, Distance: 342.4 meters, Time: 246.5 seconds
Name: Kay Drive, Instruction: Turn right onto Kay Drive, Distance: 128.4 meters, Time: 92.5 seconds
Name: -, Instruction: Turn left, Distance: 19.7 meters, Time: 14.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
