Name: Hereford Street, Instruction: Head east on Hereford Street, Distance: 7.3 meters, Time: 5.2 seconds
Name: -, Instruction: Turn right, Distance: 4.4 meters, Time: 3.2 seconds
Name: -, Instruction: Turn left, Distance: 12.9 meters, Time: 9.3 seconds
Name: -, Instruction: Turn right, Distance: 173.1 meters, Time: 124.6 seconds
Name: -, Instruction: Turn left, Distance: 119.2 meters, Time: 85.9 seconds
Name: -, Instruction: Turn right, Distance: 16.9 meters, Time: 12.2 seconds
Name: -, Instruction: Turn left, Distance: 14.9 meters, Time: 10.7 seconds
Name: -, Instruction: Keep right, Distance: 43.9 meters, Time: 31.6 seconds
Name: -, Instruction: Turn left, Distance: 16.0 meters, Time: 11.5 seconds
Name: -, Instruction: Turn right, Distance: 6.3 meters, Time: 4.5 seconds
Name: -, Instruction: Keep right, Distance: 10.6 meters, Time: 7.6 seconds
Name: Torelesse Road, Instruction: Turn left onto Torelesse Road, Distance: 77.4 meters, Time: 55.7 seconds
Name: Riverstone Road, Instruction: Turn right onto Riverstone Road, Distance: 14.8 meters, Time: 10.6 seconds
Name: -, Instruction: Turn sharp left, Distance: 13.3 meters, Time: 9.6 seconds
Name: -, Instruction: Turn right, Distance: 138.6 meters, Time: 99.8 seconds
Name: -, Instruction: Keep left, Distance: 75.1 meters, Time: 54.1 seconds
Name: -, Instruction: Turn left, Distance: 105.8 meters, Time: 76.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
