Name: Avenida Zacatépetl, Instruction: Head north on Avenida Zacatépetl, Distance: 317.5 meters, Time: 228.6 seconds
Name: -, Instruction: Turn sharp right, Distance: 26.7 meters, Time: 19.2 seconds
Name: -, Instruction: Keep right, Distance: 211.8 meters, Time: 152.5 seconds
Name: Jardín Botánico Exterior, Instruction: Turn right onto Jardín Botánico Exterior, Distance: 37.0 meters, Time: 26.7 seconds
Name: Jardín Botánico Exterior, Instruction: Turn left onto Jardín Botánico Exterior, Distance: 839.9 meters, Time: 604.7 seconds
Name: -, Instruction: Turn right, Distance: 16.7 meters, Time: 12.0 seconds
Name: -, Instruction: Turn left, Distance: 14.0 meters, Time: 10.1 seconds
Name: -, Instruction: Turn right, Distance: 13.9 meters, Time: 10.0 seconds
Name: -, Instruction: Turn right, Distance: 33.1 meters, Time: 23.8 seconds
Name: -, Instruction: Turn left, Distance: 6.8 meters, Time: 4.9 seconds
Name: Jardín Botánico Exterior, Instruction: Turn right onto Jardín Botánico Exterior, Distance: 305.3 meters, Time: 219.8 seconds
Name: Circuito Zona Deportiva, Instruction: Turn right onto Circuito Zona Deportiva, Distance: 241.8 meters, Time: 174.1 seconds
Name: -, Instruction: Turn right, Distance: 20.7 meters, Time: 14.9 seconds
Name: -, Instruction: Turn left, Distance: 2.3 meters, Time: 1.7 seconds
Name: -, Instruction: Turn sharp right, Distance: 55.0 meters, Time: 39.6 seconds
Name: -, Instruction: Turn right, Distance: 13.1 meters, Time: 9.4 seconds
Name: -, Instruction: Turn left, Distance: 169.6 meters, Time: 122.1 seconds
Name: -, Instruction: Turn left, Distance: 50.8 meters, Time: 36.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
