Name: Grosvenor Lane, Instruction: Head west on Grosvenor Lane, Distance: 80.1 meters, Time: 57.6 seconds
Name: Newland Street, Instruction: Turn left onto Newland Street, Distance: 2.8 meters, Time: 2.0 seconds
Name: Rowe Lane, Instruction: Turn right onto Rowe Lane, Distance: 8.8 meters, Time: 6.3 seconds
Name: -, Instruction: Turn left, Distance: 33.3 meters, Time: 24.0 seconds
Name: -, Instruction: Turn right, Distance: 4.9 meters, Time: 3.5 seconds
Name: -, Instruction: Turn right, Distance: 412.0 meters, Time: 296.7 seconds
Name: -, Instruction: Turn left, Distance: 18.7 meters, Time: 13.4 seconds
Name: -, Instruction: Turn right, Distance: 232.9 meters, Time: 167.7 seconds
Name: -, Instruction: Turn right, Distance: 11.3 meters, Time: 8.1 seconds
Name: -, Instruction: Turn right, Distance: 243.9 meters, Time: 175.6 seconds
Name: -, Instruction: Turn left, Distance: 1.3 meters, Time: 0.9 seconds
Name: -, Instruction: Turn right, Distance: 19.3 meters, Time: 13.9 seconds
Name: -, Instruction: Turn right, Distance: 3.2 meters, Time: 2.3 seconds
Name: -, Instruction: Turn left, Distance: 892.0 meters, Time: 642.3 seconds
Name: -, Instruction: Keep right, Distance: 100.3 meters, Time: 72.2 seconds
Name: -, Instruction: Turn right, Distance: 18.4 meters, Time: 13.2 seconds
Name: -, Instruction: Turn left, Distance: 25.6 meters, Time: 18.4 seconds
Name: -, Instruction: Turn left, Distance: 94.9 meters, Time: 68.3 seconds
Name: -, Instruction: Turn right, Distance: 29.6 meters, Time: 21.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
