Name: Rue Marietta Alboni, Instruction: Head southeast on Rue Marietta Alboni, Distance: 24.1 meters, Time: 17.3 seconds
Name: -, Instruction: Turn left, Distance: 266.3 meters, Time: 191.7 seconds
Name: -, Instruction: Turn left, Distance: 9.7 meters, Time: 7.0 seconds
Name: -, Instruction: Turn sharp right, Distance: 172.1 meters, Time: 123.9 seconds
Name: -, Instruction: Turn right, Distance: 101.0 meters, Time: 72.7 seconds
Name: -, Instruction: Turn left, Distance: 28.8 meters, Time: 20.7 seconds
Name: -, Instruction: Turn right, Distance: 177.5 meters, Time: 127.8 seconds
Name: -, Instruction: Turn right, Distance: 55.9 meters, Time: 40.3 seconds
Name: -, Instruction: Turn left, Distance: 109.4 meters, Time: 78.8 seconds
Name: -, Instruction: Turn right, Distance: 92.6 meters, Time: 66.7 seconds
Name: -, Instruction: Turn left, Distance: 3.0 meters, Time: 2.1 seconds
Name: Rue de l'Université, Instruction: Continue straight onto Rue de l'Université, Distance: 856.4 meters, Time: 616.6 seconds
Name: -, Instruction: Turn right, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Turn left, Distance: 109.6 meters, Time: 78.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
