Name: Kallang Sector, Instruction: Head southeast on Kallang Sector, Distance: 184.8 meters, Time: 133.1 seconds
Name: -, Instruction: Keep right, Distance: 148.6 meters, Time: 107.0 seconds
Name: -, Instruction: Turn left, Distance: 92.5 meters, Time: 66.6 seconds
Name: -, Instruction: Turn left, Distance: 34.3 meters, Time: 24.7 seconds
Name: -, Instruction: Keep right, Distance: 960.1 meters, Time: 691.3 seconds
Name: -, Instruction: Keep right, Distance: 186.8 meters, Time: 134.5 seconds
Name: -, Instruction: Keep right, Distance: 119.0 meters, Time: 85.7 seconds
Name: -, Instruction: Turn right, Distance: 4.5 meters, Time: 3.3 seconds
Name: Cycling Path Network, Instruction: Continue straight onto Cycling Path Network, Distance: 235.6 meters, Time: 169.6 seconds
Name: -, Instruction: Turn left, Distance: 21.4 meters, Time: 15.4 seconds
Name: -, Instruction: Turn right, Distance: 205.6 meters, Time: 148.1 seconds
Name: -, Instruction: Turn left, Distance: 117.7 meters, Time: 84.7 seconds
Name: -, Instruction: Turn right, Distance: 30.5 meters, Time: 22.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
