Name: Chemin des Gravilliers, Instruction: Head south on Chemin des Gravilliers, Distance: 30.5 meters, Time: 22.0 seconds
Name: Route du Point du Jour à Suresnes, Instruction: Keep left onto Route du Point du Jour à Suresnes, Distance: 182.0 meters, Time: 131.0 seconds
Name: Route du Point du Jour à Suresnes, Instruction: Keep left onto Route du Point du Jour à Suresnes, Distance: 24.9 meters, Time: 18.0 seconds
Name: -, Instruction: Turn right, Distance: 117.5 meters, Time: 84.6 seconds
Name: -, Instruction: Keep left, Distance: 527.8 meters, Time: 380.0 seconds
Name: -, Instruction: Turn right, Distance: 17.2 meters, Time: 12.3 seconds
Name: -, Instruction: Continue straight, Distance: 10.2 meters, Time: 7.4 seconds
Name: -, Instruction: Turn left, Distance: 67.6 meters, Time: 48.7 seconds
Name: -, Instruction: Turn slight right, Distance: 22.2 meters, Time: 16.0 seconds
Name: -, Instruction: Turn left, Distance: 62.0 meters, Time: 44.6 seconds
Name: Rue Gambetta, Instruction: Turn right onto Rue Gambetta, Distance: 274.5 meters, Time: 197.7 seconds
Name: -, Instruction: Turn right, Distance: 5.1 meters, Time: 3.7 seconds
Name: -, Instruction: Turn left, Distance: 3.1 meters, Time: 2.2 seconds
Name: -, Instruction: Turn slight right, Distance: 113.6 meters, Time: 81.8 seconds
Name: Rond-Point Fessart, Instruction: Turn left onto Rond-Point Fessart, Distance: 4.4 meters, Time: 3.2 seconds
Name: Rue Vauthier, Instruction: Turn right onto Rue Vauthier, Distance: 12.2 meters, Time: 8.8 seconds
Name: Rue Maurice Delafosse, Instruction: Keep left onto Rue Maurice Delafosse, Distance: 12.2 meters, Time: 8.8 seconds
Name: -, Instruction: Arrive at Rue Maurice Delafosse, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
