Name: Leinorstraße, Instruction: Head west on Leinorstraße, Distance: 48.5 meters, Time: 34.9 seconds
Name: Parkstraße, Instruction: Turn left onto Parkstraße, Distance: 394.7 meters, Time: 284.2 seconds
Name: Wehrstaudenstraße, Instruction: Turn left onto Wehrstaudenstraße, Distance: 421.0 meters, Time: 303.1 seconds
Name: -, Instruction: Keep right, Distance: 149.2 meters, Time: 107.4 seconds
Name: -, Instruction: Turn right, Distance: 71.8 meters, Time: 51.7 seconds
Name: -, Instruction: Keep right, Distance: 101.5 meters, Time: 73.1 seconds
Name: -, Instruction: Turn right, Distance: 68.5 meters, Time: 49.3 seconds
Name: -, Instruction: Turn left, Distance: 76.6 meters, Time: 55.2 seconds
Name: -, Instruction: Turn sharp left, Distance: 54.8 meters, Time: 39.5 seconds
Name: -, Instruction: Turn slight right, Distance: 84.8 meters, Time: 61.0 seconds
Name: -, Instruction: Turn left, Distance: 11.1 meters, Time: 8.0 seconds
Name: -, Instruction: Turn right, Distance: 46.2 meters, Time: 33.3 seconds
Name: -, Instruction: Turn left, Distance: 33.3 meters, Time: 24.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
