Name: Stanway Place, Instruction: Head northwest on Stanway Place, Distance: 87.3 meters, Time: 62.8 seconds
Name: Kalmia Street, Instruction: Turn right onto Kalmia Street, Distance: 212.9 meters, Time: 153.3 seconds
Name: -, Instruction: Keep right, Distance: 23.3 meters, Time: 16.8 seconds
Name: -, Instruction: Turn slight left, Distance: 88.0 meters, Time: 63.4 seconds
Name: -, Instruction: Turn left, Distance: 8.7 meters, Time: 6.3 seconds
Name: -, Instruction: Turn right, Distance: 16.5 meters, Time: 11.9 seconds
Name: -, Instruction: Turn sharp left, Distance: 454.4 meters, Time: 327.1 seconds
Name: Robert Street, Instruction: Turn right onto Robert Street, Distance: 8.3 meters, Time: 6.0 seconds
Name: Morrin Street, Instruction: Turn right onto Morrin Street, Distance: 23.5 meters, Time: 16.9 seconds
Name: Lonsdale Street, Instruction: Turn left onto Lonsdale Street, Distance: 285.9 meters, Time: 205.9 seconds
Name: Derby Downs Place, Instruction: Turn left onto Derby Downs Place, Distance: 167.5 meters, Time: 120.6 seconds
Name: -, Instruction: Keep right, Distance: 631.6 meters, Time: 454.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
