Name: Mansfield Road, Instruction: Head east on Mansfield Road, Distance: 648.6 meters, Time: 467.0 seconds
Name: Lower York Road, Instruction: Turn right onto Lower York Road, Distance: 286.0 meters, Time: 205.9 seconds
Name: Barend Road, Instruction: Turn left onto Barend Road, Distance: 276.0 meters, Time: 198.7 seconds
Name: -, Instruction: Turn left, Distance: 79.7 meters, Time: 57.4 seconds
Name: Hoek Street, Instruction: Turn left onto Hoek Street, Distance: 88.0 meters, Time: 63.3 seconds
Name: -, Instruction: Turn left, Distance: 194.1 meters, Time: 139.7 seconds
Name: -, Instruction: Turn left, Distance: 147.1 meters, Time: 105.9 seconds
Name: -, Instruction: Turn right, Distance: 48.5 meters, Time: 34.9 seconds
Name: -, Instruction: Turn right, Distance: 301.6 meters, Time: 217.2 seconds
Name: -, Instruction: Turn left, Distance: 126.4 meters, Time: 91.0 seconds
Name: -, Instruction: Turn sharp left, Distance: 107.2 meters, Time: 77.2 seconds
Name: Downberg Road, Instruction: Turn left onto Downberg Road, Distance: 251.6 meters, Time: 181.2 seconds
Name: Lonedown Road, Instruction: Turn left onto Lonedown Road, Distance: 98.4 meters, Time: 70.9 seconds
Name: -, Instruction: Turn right, Distance: 20.5 meters, Time: 14.8 seconds
Name: -, Instruction: Turn right, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
