Name: Rue Sacrot, Instruction: Head east on Rue Sacrot, Distance: 82.1 meters, Time: 59.1 seconds
Name: Rue Jeanne d'Arc, Instruction: Turn sharp right onto Rue Jeanne d'Arc, Distance: 104.5 meters, Time: 75.2 seconds
Name: -, Instruction: Turn left, Distance: 4.1 meters, Time: 3.0 seconds
Name: -, Instruction: Turn slight right, Distance: 0.9 meters, Time: 0.6 seconds
Name: -, Instruction: Keep left, Distance: 176.2 meters, Time: 126.8 seconds
Name: -, Instruction: Turn left, Distance: 43.1 meters, Time: 31.0 seconds
Name: Route de l'Épine, Instruction: Turn right onto Route de l'Épine, Distance: 119.3 meters, Time: 85.9 seconds
Name: Route de l'Épine, Instruction: Turn right onto Route de l'Épine, Distance: 111.3 meters, Time: 80.1 seconds
Name: Route de l'Épine, Instruction: Continue straight onto Route de l'Épine, Distance: 125.5 meters, Time: 90.4 seconds
Name: -, Instruction: Turn right, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Turn left, Distance: 25.9 meters, Time: 18.7 seconds
Name: Avenue Daumesnil, Instruction: Turn right onto Avenue Daumesnil, Distance: 10.1 meters, Time: 7.3 seconds
Name: Route Brûlée, Instruction: Turn sharp left onto Route Brûlée, Distance: 185.3 meters, Time: 133.4 seconds
Name: -, Instruction: Arrive at Route Brûlée, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
