Name: Woodgate Road, Instruction: Head south on Woodgate Road, Distance: 69.4 meters, Time: 50.0 seconds
Name: -, Instruction: Turn sharp right, Distance: 1157.8 meters, Time: 833.6 seconds
Name: -, Instruction: Turn right, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn left, Distance: 22.7 meters, Time: 16.3 seconds
Name: -, Instruction: Turn right, Distance: 20.3 meters, Time: 14.6 seconds
Name: -, Instruction: Turn left, Distance: 52.0 meters, Time: 37.5 seconds
Name: -, Instruction: Continue straight, Distance: 130.3 meters, Time: 93.8 seconds
Name: Gray Road, Instruction: Turn right onto Gray Road, Distance: 48.6 meters, Time: 35.0 seconds
Name: Gabriel Road, Instruction: Turn left onto Gabriel Road, Distance: 12.7 meters, Time: 9.2 seconds
Name: Brenda Road, Instruction: Turn right onto Brenda Road, Distance: 92.2 meters, Time: 66.4 seconds
Name: Cranmere Road, Instruction: Turn left onto Cranmere Road, Distance: 84.2 meters, Time: 60.7 seconds
Name: Timour Hall Road, Instruction: Turn right onto Timour Hall Road, Distance: 55.2 meters, Time: 39.8 seconds
Name: -, Instruction: Arrive at Timour Hall Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
