Name: Junction Road, Instruction: Head north on Junction Road, Distance: 7.5 meters, Time: 5.4 seconds
Name: -, Instruction: Turn left, Distance: 275.4 meters, Time: 198.3 seconds
Name: -, Instruction: Keep right, Distance: 1015.9 meters, Time: 731.4 seconds
Name: -, Instruction: Turn sharp right, Distance: 51.0 meters, Time: 36.8 seconds
Name: -, Instruction: Turn right, Distance: 176.7 meters, Time: 127.2 seconds
Name: Davison Road, Instruction: Turn right onto Davison Road, Distance: 61.5 meters, Time: 44.3 seconds
Name: Grey Street, Instruction: Turn left onto Grey Street, Distance: 33.7 meters, Time: 24.3 seconds
Name: -, Instruction: Turn right, Distance: 89.9 meters, Time: 64.7 seconds
Name: Porter Street, Instruction: Turn right onto Porter Street, Distance: 216.6 meters, Time: 156.0 seconds
Name: -, Instruction: Turn right, Distance: 13.4 meters, Time: 9.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
