Name: Georg-Kerschensteiner-Straße, Instruction: Head northwest on Georg-Kerschensteiner-Straße, Distance: 43.4 meters, Time: 31.2 seconds
Name: -, Instruction: Turn right, Distance: 36.0 meters, Time: 25.9 seconds
Name: -, Instruction: Turn left, Distance: 26.7 meters, Time: 19.2 seconds
Name: -, Instruction: Turn right, Distance: 76.7 meters, Time: 55.2 seconds
Name: Georginenstraße, Instruction: Turn left onto Georginenstraße, Distance: 44.5 meters, Time: 32.1 seconds
Name: Ottostraße, Instruction: Turn sharp right onto Ottostraße, Distance: 558.4 meters, Time: 402.0 seconds
Name: Riemenschneiderstraße, Instruction: Turn left onto Riemenschneiderstraße, Distance: 32.5 meters, Time: 23.4 seconds
Name: -, Instruction: Turn right, Distance: 86.4 meters, Time: 62.2 seconds
Name: -, Instruction: Turn left, Distance: 20.4 meters, Time: 14.7 seconds
Name: -, Instruction: Turn right, Distance: 13.0 meters, Time: 9.3 seconds
Name: Lenbachallee, Instruction: Turn left onto Lenbachallee, Distance: 5.6 meters, Time: 4.1 seconds
Name: -, Instruction: Turn right, Distance: 26.4 meters, Time: 19.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
