Name: 平和通り, Instruction: Head south on 平和通り, Distance: 155.4 meters, Time: 111.9 seconds
Name: -, Instruction: Turn left, Distance: 57.5 meters, Time: 41.4 seconds
Name: -, Instruction: Turn left, Distance: 12.5 meters, Time: 9.0 seconds
Name: -, Instruction: Turn right, Distance: 146.0 meters, Time: 105.1 seconds
Name: We Road, Instruction: Turn left onto We Road, Distance: 34.1 meters, Time: 24.5 seconds
Name: We Road, Instruction: Turn left onto We Road, Distance: 104.6 meters, Time: 75.3 seconds
Name: -, Instruction: Turn right, Distance: 33.5 meters, Time: 24.1 seconds
Name: -, Instruction: Turn right, Distance: 11.1 meters, Time: 8.0 seconds
Name: -, Instruction: Turn left, Distance: 3.0 meters, Time: 2.2 seconds
Name: -, Instruction: Turn right, Distance: 65.5 meters, Time: 47.2 seconds
Name: -, Instruction: Turn left, Distance: 48.0 meters, Time: 34.6 seconds
Name: -, Instruction: Turn right, Distance: 156.2 meters, Time: 112.4 seconds
Name: -, Instruction: Turn left, Distance: 8.7 meters, Time: 6.3 seconds
Name: -, Instruction: Turn right, Distance: 19.5 meters, Time: 14.0 seconds
Name: -, Instruction: Turn right, Distance: 311.6 meters, Time: 224.4 seconds
Name: -, Instruction: Turn left, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Turn right, Distance: 52.2 meters, Time: 37.6 seconds
Name: -, Instruction: Turn right, Distance: 108.2 meters, Time: 77.9 seconds
Name: -, Instruction: Turn right, Distance: 30.5 meters, Time: 21.9 seconds
Name: -, Instruction: Turn left, Distance: 93.3 meters, Time: 67.2 seconds
Name: -, Instruction: Turn left, Distance: 114.4 meters, Time: 82.4 seconds
Name: -, Instruction: Turn left, Distance: 14.8 meters, Time: 10.6 seconds
Name: -, Instruction: Turn sharp left, Distance: 21.4 meters, Time: 15.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
