Name: Rue de la Guadeloupe, Instruction: Head west on Rue de la Guadeloupe, Distance: 97.4 meters, Time: 70.1 seconds
Name: Rue de l'Olive, Instruction: Turn left onto Rue de l'Olive, Distance: 62.5 meters, Time: 45.0 seconds
Name: -, Instruction: Turn right, Distance: 77.1 meters, Time: 55.5 seconds
Name: -, Instruction: Keep left, Distance: 8.0 meters, Time: 5.8 seconds
Name: -, Instruction: Turn slight right, Distance: 21.1 meters, Time: 15.2 seconds
Name: -, Instruction: Turn left, Distance: 21.3 meters, Time: 15.3 seconds
Name: -, Instruction: Turn left, Distance: 3.4 meters, Time: 2.5 seconds
Name: -, Instruction: Keep right, Distance: 563.6 meters, Time: 405.8 seconds
Name: -, Instruction: Keep left, Distance: 33.3 meters, Time: 24.0 seconds
Name: -, Instruction: Turn slight left, Distance: 140.2 meters, Time: 100.9 seconds
Name: -, Instruction: Turn slight right, Distance: 17.5 meters, Time: 12.6 seconds
Name: -, Instruction: Turn left, Distance: 16.4 meters, Time: 11.8 seconds
Name: -, Instruction: Turn left, Distance: 2.7 meters, Time: 2.0 seconds
Name: -, Instruction: Turn slight left, Distance: 25.8 meters, Time: 18.6 seconds
Name: -, Instruction: Turn left, Distance: 7.4 meters, Time: 5.3 seconds
Name: -, Instruction: Turn right, Distance: 36.9 meters, Time: 26.5 seconds
Name: -, Instruction: Turn slight right, Distance: 1.7 meters, Time: 1.3 seconds
Name: -, Instruction: Turn left, Distance: 13.5 meters, Time: 9.7 seconds
Name: -, Instruction: Turn left, Distance: 133.7 meters, Time: 96.3 seconds
Name: -, Instruction: Turn left, Distance: 49.9 meters, Time: 35.9 seconds
Name: -, Instruction: Turn right, Distance: 2.2 meters, Time: 1.6 seconds
Name: -, Instruction: Turn left, Distance: 14.6 meters, Time: 10.5 seconds
Name: -, Instruction: Turn left, Distance: 1.3 meters, Time: 0.9 seconds
Name: -, Instruction: Turn right, Distance: 70.1 meters, Time: 50.5 seconds
Name: -, Instruction: Turn right, Distance: 2.6 meters, Time: 1.8 seconds
Name: -, Instruction: Turn left, Distance: 11.6 meters, Time: 8.3 seconds
Name: -, Instruction: Turn left, Distance: 40.0 meters, Time: 28.8 seconds
Name: -, Instruction: Turn right, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn left, Distance: 8.2 meters, Time: 5.9 seconds
Name: -, Instruction: Turn left, Distance: 34.8 meters, Time: 25.1 seconds
Name: -, Instruction: Turn right, Distance: 10.2 meters, Time: 7.3 seconds
Name: -, Instruction: Turn left, Distance: 10.0 meters, Time: 7.2 seconds
Name: -, Instruction: Turn slight left, Distance: 4.6 meters, Time: 3.3 seconds
Name: -, Instruction: Turn right, Distance: 82.0 meters, Time: 59.0 seconds
Name: Rue Letort, Instruction: Turn left onto Rue Letort, Distance: 7.1 meters, Time: 5.1 seconds
Name: Rue du Poteau, Instruction: Turn right onto Rue du Poteau, Distance: 15.3 meters, Time: 11.0 seconds
Name: -, Instruction: Arrive at Rue du Poteau, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
