Name: Stanway Place, Instruction: Head northwest on Stanway Place, Distance: 87.3 meters, Time: 62.8 seconds
Name: Kalmia Street, Instruction: Turn right onto Kalmia Street, Distance: 337.8 meters, Time: 243.2 seconds
Name: Kalmia Street, Instruction: Keep left onto Kalmia Street, Distance: 20.7 meters, Time: 14.9 seconds
Name: -, Instruction: Turn left, Distance: 359.1 meters, Time: 258.5 seconds
Name: -, Instruction: Turn left, Distance: 133.9 meters, Time: 96.4 seconds
Name: Walpole Street, Instruction: Turn right onto Walpole Street, Distance: 345.3 meters, Time: 248.6 seconds
Name: Mitchelson Street, Instruction: Turn left onto Mitchelson Street, Distance: 232.6 meters, Time: 167.4 seconds
Name: -, Instruction: Turn sharp right, Distance: 34.7 meters, Time: 25.0 seconds
Name: -, Instruction: Turn left, Distance: 145.6 meters, Time: 104.8 seconds
Name: -, Instruction: Keep right, Distance: 181.4 meters, Time: 130.6 seconds
Name: Ascot Avenue, Instruction: Turn right onto Ascot Avenue, Distance: 78.9 meters, Time: 56.8 seconds
Name: Ascot Avenue, Instruction: Keep right onto Ascot Avenue, Distance: 20.9 meters, Time: 15.0 seconds
Name: Ascot Avenue, Instruction: Enter the roundabout and take the 3rd exit onto Ascot Avenue, Distance: 231.1 meters, Time: 166.4 seconds
Name: Ascot Avenue, Instruction: Keep right onto Ascot Avenue, Distance: 28.4 meters, Time: 20.4 seconds
Name: Green Shared Path East, Instruction: Turn right onto Green Shared Path East, Distance: 31.6 meters, Time: 22.8 seconds
Name: -, Instruction: Turn left, Distance: 16.6 meters, Time: 11.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
