Name: Rua Carlos Oswald, Instruction: Head northwest on Rua Carlos Oswald, Distance: 18.3 meters, Time: 13.2 seconds
Name: Avenida David Nasser, Instruction: Turn sharp left onto Avenida David Nasser, Distance: 53.1 meters, Time: 38.2 seconds
Name: Avenida das Américas, Instruction: Turn slight right onto Avenida das Américas, Distance: 60.7 meters, Time: 43.7 seconds
Name: -, Instruction: Turn right, Distance: 51.8 meters, Time: 37.3 seconds
Name: -, Instruction: Turn left, Distance: 89.9 meters, Time: 64.7 seconds
Name: -, Instruction: Turn left, Distance: 13.7 meters, Time: 9.9 seconds
Name: Avenida das Américas, Instruction: Turn right onto Avenida das Américas, Distance: 373.8 meters, Time: 269.1 seconds
Name: -, Instruction: Turn sharp right, Distance: 588.2 meters, Time: 423.5 seconds
Name: Rua Jurandir Pires, Instruction: Keep left onto Rua Jurandir Pires, Distance: 260.9 meters, Time: 187.8 seconds
Name: Avenida das Américas, Instruction: Turn right onto Avenida das Américas, Distance: 347.2 meters, Time: 250.0 seconds
Name: -, Instruction: Turn right, Distance: 38.2 meters, Time: 27.5 seconds
Name: Rua Isidoro Lopes, Instruction: Turn left onto Rua Isidoro Lopes, Distance: 187.6 meters, Time: 135.1 seconds
Name: Avenida Jurandyr Pires, Instruction: Turn slight left onto Avenida Jurandyr Pires, Distance: 59.7 meters, Time: 43.0 seconds
Name: Avenida Jurandyr Pires, Instruction: Keep right onto Avenida Jurandyr Pires, Distance: 52.2 meters, Time: 37.6 seconds
Name: Avenida Jurandyr Pires, Instruction: Keep right onto Avenida Jurandyr Pires, Distance: 180.9 meters, Time: 130.2 seconds
Name: Avenida Jurandyr Pires, Instruction: Continue straight onto Avenida Jurandyr Pires, Distance: 23.3 meters, Time: 16.8 seconds
Name: Avenida Jardins Santa Monica, Instruction: Continue straight onto Avenida Jardins Santa Monica, Distance: 26.1 meters, Time: 18.8 seconds
Name: Avenida Jardins Santa Monica, Instruction: Turn sharp left onto Avenida Jardins Santa Monica, Distance: 65.0 meters, Time: 46.8 seconds
Name: -, Instruction: Turn slight right, Distance: 45.7 meters, Time: 32.9 seconds
Name: -, Instruction: Turn sharp right, Distance: 33.1 meters, Time: 23.8 seconds
Name: -, Instruction: Turn left, Distance: 32.6 meters, Time: 23.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
