Name: Petersham Road, Instruction: Head south on Petersham Road, Distance: 40.0 meters, Time: 28.8 seconds
Name: -, Instruction: Turn sharp left, Distance: 200.2 meters, Time: 144.2 seconds
Name: -, Instruction: Turn right, Distance: 12.3 meters, Time: 8.9 seconds
Name: -, Instruction: Turn left, Distance: 108.8 meters, Time: 78.3 seconds
Name: -, Instruction: Turn right, Distance: 173.5 meters, Time: 124.9 seconds
Name: -, Instruction: Turn left, Distance: 14.3 meters, Time: 10.3 seconds
Name: -, Instruction: Turn right, Distance: 117.6 meters, Time: 84.7 seconds
Name: Saymour Lane, Instruction: Turn right onto Saymour Lane, Distance: 75.3 meters, Time: 54.2 seconds
Name: Frampton Lane, Instruction: Turn slight left onto Frampton Lane, Distance: 291.9 meters, Time: 210.1 seconds
Name: -, Instruction: Turn right, Distance: 32.3 meters, Time: 23.3 seconds
Name: -, Instruction: Turn left, Distance: 15.8 meters, Time: 11.4 seconds
Name: -, Instruction: Turn slight right, Distance: 2.5 meters, Time: 1.8 seconds
Name: -, Instruction: Turn slight left, Distance: 364.3 meters, Time: 262.3 seconds
Name: -, Instruction: Turn right, Distance: 14.5 meters, Time: 10.4 seconds
Name: -, Instruction: Turn left, Distance: 162.0 meters, Time: 116.7 seconds
Name: -, Instruction: Keep left, Distance: 134.6 meters, Time: 96.9 seconds
Name: -, Instruction: Keep left, Distance: 219.7 meters, Time: 158.2 seconds
Name: -, Instruction: Turn left, Distance: 162.6 meters, Time: 117.1 seconds
Name: -, Instruction: Turn left, Distance: 32.4 meters, Time: 23.3 seconds
Name: -, Instruction: Keep left, Distance: 13.2 meters, Time: 9.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
