Name: Boronia Avenue, Instruction: Head east on Boronia Avenue, Distance: 289.5 meters, Time: 208.5 seconds
Name: Duncan Place, Instruction: Turn right onto Duncan Place, Distance: 8.5 meters, Time: 6.1 seconds
Name: -, Instruction: Turn left, Distance: 617.9 meters, Time: 444.9 seconds
Name: -, Instruction: Turn left, Distance: 16.3 meters, Time: 11.7 seconds
Name: -, Instruction: Turn right, Distance: 91.1 meters, Time: 65.6 seconds
Name: -, Instruction: Turn right, Distance: 16.4 meters, Time: 11.8 seconds
Name: -, Instruction: Turn left, Distance: 25.5 meters, Time: 18.3 seconds
Name: Epping Club Walk, Instruction: Turn right onto Epping Club Walk, Distance: 64.9 meters, Time: 46.7 seconds
Name: Beecroft Road, Instruction: Turn left onto Beecroft Road, Distance: 10.4 meters, Time: 7.5 seconds
Name: -, Instruction: Keep right, Distance: 16.2 meters, Time: 11.7 seconds
Name: Footbridge, Instruction: Turn right onto Footbridge, Distance: 70.7 meters, Time: 50.9 seconds
Name: Langston Place, Instruction: Turn right onto Langston Place, Distance: 7.6 meters, Time: 5.5 seconds
Name: -, Instruction: Turn left, Distance: 18.5 meters, Time: 13.3 seconds
Name: -, Instruction: Turn left, Distance: 22.3 meters, Time: 16.0 seconds
Name: -, Instruction: Turn right, Distance: 330.6 meters, Time: 238.1 seconds
Name: -, Instruction: Turn right, Distance: 9.3 meters, Time: 6.7 seconds
Name: Essex Street, Instruction: Turn right onto Essex Street, Distance: 13.9 meters, Time: 10.0 seconds
Name: -, Instruction: Arrive at Essex Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
