Name: Rue d'Assas, Instruction: Head southeast on Rue d'Assas, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Turn left, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Turn right, Distance: 105.4 meters, Time: 75.9 seconds
Name: -, Instruction: Turn right, Distance: 131.2 meters, Time: 94.5 seconds
Name: -, Instruction: Turn left, Distance: 1.9 meters, Time: 1.3 seconds
Name: -, Instruction: Turn right, Distance: 19.0 meters, Time: 13.7 seconds
Name: -, Instruction: Turn slight right, Distance: 89.4 meters, Time: 64.4 seconds
Name: -, Instruction: Turn left, Distance: 3.1 meters, Time: 2.2 seconds
Name: -, Instruction: Turn right, Distance: 18.4 meters, Time: 13.3 seconds
Name: -, Instruction: Turn right, Distance: 83.1 meters, Time: 59.8 seconds
Name: -, Instruction: Keep left, Distance: 329.8 meters, Time: 237.4 seconds
Name: -, Instruction: Turn right, Distance: 45.0 meters, Time: 32.4 seconds
Name: -, Instruction: Turn right, Distance: 4.6 meters, Time: 3.3 seconds
Name: Rue Auguste Comte, Instruction: Turn left onto Rue Auguste Comte, Distance: 349.9 meters, Time: 251.9 seconds
Name: -, Instruction: Turn right, Distance: 8.2 meters, Time: 5.9 seconds
Name: -, Instruction: Turn slight left, Distance: 47.6 meters, Time: 34.3 seconds
Name: -, Instruction: Turn left, Distance: 1.7 meters, Time: 1.2 seconds
Name: -, Instruction: Turn sharp right, Distance: 4.0 meters, Time: 2.9 seconds
Name: -, Instruction: Turn slight left, Distance: 7.2 meters, Time: 5.2 seconds
Name: -, Instruction: Turn right, Distance: 143.3 meters, Time: 103.2 seconds
Name: -, Instruction: Turn right, Distance: 1.9 meters, Time: 1.3 seconds
Name: -, Instruction: Turn slight left, Distance: 7.9 meters, Time: 5.7 seconds
Name: -, Instruction: Turn left, Distance: 225.2 meters, Time: 162.2 seconds
Name: -, Instruction: Keep left, Distance: 13.6 meters, Time: 9.8 seconds
Name: -, Instruction: Turn left, Distance: 2.9 meters, Time: 2.1 seconds
Name: -, Instruction: Turn right, Distance: 253.3 meters, Time: 182.4 seconds
Name: -, Instruction: Turn right, Distance: 3.2 meters, Time: 2.3 seconds
Name: -, Instruction: Turn left, Distance: 9.8 meters, Time: 7.1 seconds
Name: -, Instruction: Turn slight left, Distance: 45.9 meters, Time: 33.1 seconds
Name: -, Instruction: Turn left, Distance: 10.2 meters, Time: 7.3 seconds
Name: -, Instruction: Turn left, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Turn slight right, Distance: 171.3 meters, Time: 123.3 seconds
Name: Avenue des Gobelins, Instruction: Turn right onto Avenue des Gobelins, Distance: 27.4 meters, Time: 19.7 seconds
Name: -, Instruction: Continue straight, Distance: 41.8 meters, Time: 30.1 seconds
Name: -, Instruction: Turn slight right, Distance: 18.3 meters, Time: 13.2 seconds
Name: -, Instruction: Turn left, Distance: 6.9 meters, Time: 5.0 seconds
Name: -, Instruction: Turn left, Distance: 25.4 meters, Time: 18.3 seconds
Name: -, Instruction: Turn left, Distance: 6.2 meters, Time: 4.5 seconds
Name: -, Instruction: Turn right, Distance: 43.9 meters, Time: 31.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
