Name: Gräfstraße, Instruction: Head west on Gräfstraße, Distance: 96.9 meters, Time: 69.7 seconds
Name: Bodenstedtstraße, Instruction: Turn right onto Bodenstedtstraße, Distance: 463.5 meters, Time: 333.7 seconds
Name: Calderonweg, Instruction: Turn right onto Calderonweg, Distance: 49.8 meters, Time: 35.8 seconds
Name: -, Instruction: Turn left, Distance: 257.0 meters, Time: 185.0 seconds
Name: -, Instruction: Turn right, Distance: 28.6 meters, Time: 20.6 seconds
Name: -, Instruction: Turn left, Distance: 4.8 meters, Time: 3.5 seconds
Name: -, Instruction: Turn right, Distance: 52.4 meters, Time: 37.7 seconds
Name: -, Instruction: Keep left, Distance: 455.8 meters, Time: 328.2 seconds
Name: -, Instruction: Turn left, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Turn right, Distance: 204.8 meters, Time: 147.5 seconds
Name: August-Exter-Straße, Instruction: Turn left onto August-Exter-Straße, Distance: 24.5 meters, Time: 17.6 seconds
Name: August-Exter-Straße, Instruction: Turn sharp right onto August-Exter-Straße, Distance: 5.5 meters, Time: 4.0 seconds
Name: -, Instruction: Arrive at August-Exter-Straße, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
