Name: Barge Walk, Instruction: Head southeast on Barge Walk, Distance: 142.2 meters, Time: 102.4 seconds
Name: -, Instruction: Turn right, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Turn left, Distance: 20.4 meters, Time: 14.7 seconds
Name: John Harrison Way, Instruction: Turn right onto John Harrison Way, Distance: 12.2 meters, Time: 8.8 seconds
Name: Teal Street, Instruction: Turn left onto Teal Street, Distance: 85.4 meters, Time: 61.5 seconds
Name: Renaissance Walk, Instruction: Turn right onto Renaissance Walk, Distance: 62.7 meters, Time: 45.1 seconds
Name: -, Instruction: Turn left, Distance: 45.1 meters, Time: 32.5 seconds
Name: -, Instruction: Turn left, Distance: 46.0 meters, Time: 33.1 seconds
Name: -, Instruction: Keep right, Distance: 89.5 meters, Time: 64.4 seconds
Name: -, Instruction: Keep left, Distance: 36.7 meters, Time: 26.4 seconds
Name: -, Instruction: Turn right, Distance: 9.3 meters, Time: 6.7 seconds
Name: -, Instruction: Continue straight, Distance: 13.8 meters, Time: 10.0 seconds
Name: -, Instruction: Turn right, Distance: 94.8 meters, Time: 68.3 seconds
Name: -, Instruction: Turn left, Distance: 51.2 meters, Time: 36.9 seconds
Name: Rennie Street, Instruction: Turn right onto Rennie Street, Distance: 23.9 meters, Time: 17.2 seconds
Name: -, Instruction: Turn left, Distance: 32.9 meters, Time: 23.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
