Name: Rue Gasnier-Guy, Instruction: Head east on Rue Gasnier-Guy, Distance: 114.0 meters, Time: 82.1 seconds
Name: Rue Orfila, Instruction: Continue straight onto Rue Orfila, Distance: 15.8 meters, Time: 11.3 seconds
Name: Rue Orfila, Instruction: Turn slight left onto Rue Orfila, Distance: 8.4 meters, Time: 6.1 seconds
Name: -, Instruction: Turn right, Distance: 39.8 meters, Time: 28.6 seconds
Name: -, Instruction: Keep left, Distance: 45.4 meters, Time: 32.7 seconds
Name: -, Instruction: Keep right, Distance: 7.5 meters, Time: 5.4 seconds
Name: -, Instruction: Keep right, Distance: 33.3 meters, Time: 24.0 seconds
Name: -, Instruction: Keep left, Distance: 165.8 meters, Time: 119.3 seconds
Name: -, Instruction: Turn slight left, Distance: 16.9 meters, Time: 12.1 seconds
Name: -, Instruction: Turn right, Distance: 2.5 meters, Time: 1.8 seconds
Name: -, Instruction: Turn slight left, Distance: 44.8 meters, Time: 32.2 seconds
Name: -, Instruction: Keep left, Distance: 1.4 meters, Time: 1.0 seconds
Name: -, Instruction: Turn left, Distance: 22.2 meters, Time: 16.0 seconds
Name: -, Instruction: Turn right, Distance: 3.2 meters, Time: 2.3 seconds
Name: -, Instruction: Turn slight right, Distance: 162.0 meters, Time: 116.7 seconds
Name: -, Instruction: Turn left, Distance: 8.9 meters, Time: 6.4 seconds
Name: -, Instruction: Turn right, Distance: 70.1 meters, Time: 50.5 seconds
Name: -, Instruction: Turn right, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Turn left, Distance: 483.8 meters, Time: 348.3 seconds
Name: -, Instruction: Turn slight left, Distance: 55.6 meters, Time: 40.0 seconds
Name: -, Instruction: Keep left, Distance: 10.9 meters, Time: 7.8 seconds
Name: -, Instruction: Turn left, Distance: 3.7 meters, Time: 2.7 seconds
Name: -, Instruction: Turn sharp right, Distance: 415.9 meters, Time: 299.4 seconds
Name: -, Instruction: Keep left, Distance: 115.8 meters, Time: 83.4 seconds
Name: -, Instruction: Keep right, Distance: 23.9 meters, Time: 17.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
