Name: Bain Street, Instruction: Head northwest on Bain Street, Distance: 5.2 meters, Time: 3.7 seconds
Name: -, Instruction: Turn right, Distance: 339.4 meters, Time: 244.3 seconds
Name: -, Instruction: Turn left, Distance: 33.9 meters, Time: 24.4 seconds
Name: -, Instruction: Turn right, Distance: 84.8 meters, Time: 61.0 seconds
Name: -, Instruction: Turn slight right, Distance: 20.7 meters, Time: 14.9 seconds
Name: -, Instruction: Turn left, Distance: 334.1 meters, Time: 240.6 seconds
Name: -, Instruction: Turn right, Distance: 34.3 meters, Time: 24.7 seconds
Name: -, Instruction: Keep right, Distance: 94.3 meters, Time: 67.9 seconds
Name: -, Instruction: Keep left, Distance: 23.0 meters, Time: 16.6 seconds
Name: Jalan Besar, Instruction: Turn slight right onto Jalan Besar, Distance: 36.9 meters, Time: 26.6 seconds
Name: Dickson Road, Instruction: Turn left onto Dickson Road, Distance: 228.8 meters, Time: 164.7 seconds
Name: -, Instruction: Arrive at Dickson Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
