Name: Barron Road, Instruction: Head north on Barron Road, Distance: 7.1 meters, Time: 5.1 seconds
Name: Yardley Avenue, Instruction: Turn right onto Yardley Avenue, Distance: 620.5 meters, Time: 446.8 seconds
Name: Delwood Drive, Instruction: Turn left onto Delwood Drive, Distance: 136.3 meters, Time: 98.1 seconds
Name: Knightsbridge Road, Instruction: Turn right onto Knightsbridge Road, Distance: 307.3 meters, Time: 221.2 seconds
Name: -, Instruction: Turn left, Distance: 173.4 meters, Time: 124.9 seconds
Name: Edge Park Avenue, Instruction: Turn right onto Edge Park Avenue, Distance: 23.1 meters, Time: 16.6 seconds
Name: -, Instruction: Turn left, Distance: 202.0 meters, Time: 145.5 seconds
Name: -, Instruction: Turn right, Distance: 502.8 meters, Time: 362.0 seconds
Name: -, Instruction: Turn left, Distance: 237.7 meters, Time: 171.2 seconds
Name: -, Instruction: Turn left, Distance: 175.6 meters, Time: 126.4 seconds
Name: -, Instruction: Turn left, Distance: 58.6 meters, Time: 42.2 seconds
Name: -, Instruction: Turn right, Distance: 18.9 meters, Time: 13.6 seconds
Name: -, Instruction: Turn right, Distance: 37.4 meters, Time: 26.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
