Name: Kiswick Street, Instruction: Head north on Kiswick Street, Distance: 37.7 meters, Time: 27.1 seconds
Name: -, Instruction: Turn left, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Keep right, Distance: 27.4 meters, Time: 19.7 seconds
Name: -, Instruction: Turn left, Distance: 26.4 meters, Time: 19.0 seconds
Name: -, Instruction: Turn right, Distance: 18.0 meters, Time: 13.0 seconds
Name: -, Instruction: Turn left, Distance: 14.1 meters, Time: 10.1 seconds
Name: -, Instruction: Turn left, Distance: 127.8 meters, Time: 92.0 seconds
Name: -, Instruction: Turn right, Distance: 5.2 meters, Time: 3.8 seconds
Name: -, Instruction: Turn left, Distance: 35.6 meters, Time: 25.6 seconds
Name: -, Instruction: Turn right, Distance: 86.9 meters, Time: 62.5 seconds
Name: -, Instruction: Turn sharp left, Distance: 196.7 meters, Time: 141.6 seconds
Name: -, Instruction: Turn right, Distance: 8.9 meters, Time: 6.4 seconds
Name: -, Instruction: Turn slight left, Distance: 36.5 meters, Time: 26.3 seconds
Name: -, Instruction: Turn left, Distance: 4.1 meters, Time: 2.9 seconds
Name: Carlaw Avenue, Instruction: Turn right onto Carlaw Avenue, Distance: 299.4 meters, Time: 215.5 seconds
Name: Withrow Park Trail, Instruction: Turn left onto Withrow Park Trail, Distance: 41.1 meters, Time: 29.6 seconds
Name: -, Instruction: Keep right, Distance: 162.9 meters, Time: 117.3 seconds
Name: Fenwick Avenue, Instruction: Continue straight onto Fenwick Avenue, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Turn left, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Turn right, Distance: 158.7 meters, Time: 114.2 seconds
Name: -, Instruction: Turn left, Distance: 99.7 meters, Time: 71.8 seconds
Name: -, Instruction: Turn right, Distance: 33.8 meters, Time: 24.3 seconds
Name: -, Instruction: Turn left, Distance: 1.8 meters, Time: 1.3 seconds
Name: -, Instruction: Turn right, Distance: 20.2 meters, Time: 14.6 seconds
Name: -, Instruction: Turn left, Distance: 72.8 meters, Time: 52.4 seconds
Name: -, Instruction: Turn right, Distance: 79.1 meters, Time: 57.0 seconds
Name: -, Instruction: Turn left, Distance: 10.1 meters, Time: 7.3 seconds
Name: -, Instruction: Turn right, Distance: 400.6 meters, Time: 288.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
