Name: Brooklime Crescent, Instruction: Head northwest on Brooklime Crescent, Distance: 173.7 meters, Time: 125.1 seconds
Name: -, Instruction: Turn left, Distance: 10.5 meters, Time: 7.5 seconds
Name: -, Instruction: Turn right, Distance: 47.3 meters, Time: 34.1 seconds
Name: -, Instruction: Turn slight right, Distance: 11.3 meters, Time: 8.1 seconds
Name: -, Instruction: Keep left, Distance: 31.7 meters, Time: 22.8 seconds
Name: -, Instruction: Keep left, Distance: 15.7 meters, Time: 11.3 seconds
Name: -, Instruction: Turn left, Distance: 3.8 meters, Time: 2.7 seconds
Name: -, Instruction: Turn right, Distance: 12.4 meters, Time: 9.0 seconds
Name: Greenhood Crescent, Instruction: Turn left onto Greenhood Crescent, Distance: 8.5 meters, Time: 6.1 seconds
Name: -, Instruction: Turn sharp right, Distance: 6.4 meters, Time: 4.6 seconds
Name: -, Instruction: Turn left, Distance: 56.2 meters, Time: 40.5 seconds
Name: -, Instruction: Turn right, Distance: 3.7 meters, Time: 2.7 seconds
Name: -, Instruction: Turn left, Distance: 16.3 meters, Time: 11.7 seconds
Name: -, Instruction: Turn right, Distance: 160.7 meters, Time: 115.7 seconds
Name: -, Instruction: Turn slight left, Distance: 63.8 meters, Time: 46.0 seconds
Name: -, Instruction: Turn right, Distance: 16.3 meters, Time: 11.7 seconds
Name: -, Instruction: Turn left, Distance: 146.6 meters, Time: 105.5 seconds
Name: -, Instruction: Turn left, Distance: 14.6 meters, Time: 10.5 seconds
Name: -, Instruction: Turn right, Distance: 177.3 meters, Time: 127.6 seconds
Name: -, Instruction: Turn right, Distance: 138.4 meters, Time: 99.6 seconds
Name: -, Instruction: Turn slight left, Distance: 17.9 meters, Time: 12.9 seconds
Name: -, Instruction: Turn right, Distance: 22.7 meters, Time: 16.4 seconds
Name: -, Instruction: Turn slight right, Distance: 296.5 meters, Time: 213.5 seconds
Name: -, Instruction: Turn right, Distance: 9.7 meters, Time: 7.0 seconds
Name: -, Instruction: Turn left, Distance: 49.8 meters, Time: 35.8 seconds
Name: Camden Valley Way cycleway, Instruction: Turn right onto Camden Valley Way cycleway, Distance: 12.0 meters, Time: 8.6 seconds
Name: Heath Road, Instruction: Turn left onto Heath Road, Distance: 188.9 meters, Time: 136.0 seconds
Name: Heath Road, Instruction: Keep right onto Heath Road, Distance: 25.4 meters, Time: 18.3 seconds
Name: Kontista Street, Instruction: Turn right onto Kontista Street, Distance: 214.2 meters, Time: 154.2 seconds
Name: Myakka Way, Instruction: Turn left onto Myakka Way, Distance: 215.8 meters, Time: 155.4 seconds
Name: Capparis Lane, Instruction: Turn right onto Capparis Lane, Distance: 32.7 meters, Time: 23.6 seconds
Name: Leatherwood Avenue, Instruction: Turn left onto Leatherwood Avenue, Distance: 148.6 meters, Time: 107.0 seconds
Name: -, Instruction: Arrive at Leatherwood Avenue, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
