Name: Worcester Road, Instruction: Head southwest on Worcester Road, Distance: 23.0 meters, Time: 16.5 seconds
Name: Ripon Crescent, Instruction: Keep right onto Ripon Crescent, Distance: 9.9 meters, Time: 7.1 seconds
Name: -, Instruction: Turn left, Distance: 299.6 meters, Time: 215.7 seconds
Name: -, Instruction: Turn left, Distance: 56.8 meters, Time: 40.9 seconds
Name: -, Instruction: Turn right, Distance: 18.3 meters, Time: 13.2 seconds
Name: -, Instruction: Turn left, Distance: 949.2 meters, Time: 683.5 seconds
Name: -, Instruction: Keep left, Distance: 36.9 meters, Time: 26.6 seconds
Name: -, Instruction: Turn left, Distance: 26.0 meters, Time: 18.7 seconds
Name: -, Instruction: Turn right, Distance: 557.6 meters, Time: 401.5 seconds
Name: -, Instruction: Turn right, Distance: 22.7 meters, Time: 16.3 seconds
Name: -, Instruction: Turn left, Distance: 185.6 meters, Time: 133.7 seconds
Name: -, Instruction: Turn left, Distance: 18.2 meters, Time: 13.1 seconds
Name: -, Instruction: Turn left, Distance: 255.5 meters, Time: 184.0 seconds
Name: -, Instruction: Turn left, Distance: 18.3 meters, Time: 13.2 seconds
Name: -, Instruction: Turn left, Distance: 15.0 meters, Time: 10.8 seconds
Name: -, Instruction: Turn left, Distance: 6.6 meters, Time: 4.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
