Name: Chemin Billaud, Instruction: Head southwest on Chemin Billaud, Distance: 24.6 meters, Time: 17.7 seconds
Name: Chemin Guersant, Instruction: Turn left onto Chemin Guersant, Distance: 81.6 meters, Time: 58.8 seconds
Name: Avenue Principale, Instruction: Turn right onto Avenue Principale, Distance: 145.4 meters, Time: 104.7 seconds
Name: -, Instruction: Turn left, Distance: 131.4 meters, Time: 94.6 seconds
Name: -, Instruction: Turn right, Distance: 38.2 meters, Time: 27.5 seconds
Name: -, Instruction: Turn slight left, Distance: 29.3 meters, Time: 21.1 seconds
Name: -, Instruction: Turn right, Distance: 77.6 meters, Time: 55.9 seconds
Name: -, Instruction: Turn left, Distance: 75.7 meters, Time: 54.5 seconds
Name: -, Instruction: Turn sharp right, Distance: 1.7 meters, Time: 1.3 seconds
Name: -, Instruction: Turn left, Distance: 9.5 meters, Time: 6.8 seconds
Name: -, Instruction: Turn left, Distance: 64.9 meters, Time: 46.8 seconds
Name: -, Instruction: Turn right, Distance: 2.9 meters, Time: 2.1 seconds
Name: -, Instruction: Turn left, Distance: 9.7 meters, Time: 7.0 seconds
Name: -, Instruction: Turn slight left, Distance: 143.1 meters, Time: 103.0 seconds
Name: -, Instruction: Turn slight right, Distance: 4.0 meters, Time: 2.9 seconds
Name: -, Instruction: Turn left, Distance: 277.7 meters, Time: 200.0 seconds
Name: -, Instruction: Turn left, Distance: 68.1 meters, Time: 49.0 seconds
Name: -, Instruction: Turn right, Distance: 2.1 meters, Time: 1.5 seconds
Name: -, Instruction: Turn left, Distance: 22.5 meters, Time: 16.2 seconds
Name: -, Instruction: Turn left, Distance: 61.2 meters, Time: 44.0 seconds
Name: -, Instruction: Turn left, Distance: 36.4 meters, Time: 26.2 seconds
Name: -, Instruction: Turn right, Distance: 5.9 meters, Time: 4.3 seconds
Name: -, Instruction: Turn left, Distance: 100.9 meters, Time: 72.7 seconds
Name: -, Instruction: Turn slight left, Distance: 3.0 meters, Time: 2.2 seconds
Name: -, Instruction: Keep right, Distance: 239.3 meters, Time: 172.3 seconds
Name: -, Instruction: Turn right, Distance: 11.9 meters, Time: 8.6 seconds
Name: -, Instruction: Turn slight left, Distance: 40.4 meters, Time: 29.1 seconds
Name: -, Instruction: Turn left, Distance: 9.5 meters, Time: 6.9 seconds
Name: -, Instruction: Turn right, Distance: 47.4 meters, Time: 34.1 seconds
Name: -, Instruction: Turn left, Distance: 17.7 meters, Time: 12.8 seconds
Name: -, Instruction: Turn right, Distance: 24.2 meters, Time: 17.5 seconds
Name: -, Instruction: Turn right, Distance: 23.8 meters, Time: 17.1 seconds
Name: -, Instruction: Turn right, Distance: 1.0 meters, Time: 0.7 seconds
Name: -, Instruction: Turn left, Distance: 143.6 meters, Time: 103.4 seconds
Name: -, Instruction: Turn right, Distance: 28.1 meters, Time: 20.2 seconds
Name: -, Instruction: Turn right, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Turn left, Distance: 44.1 meters, Time: 31.8 seconds
Name: -, Instruction: Turn right, Distance: 160.5 meters, Time: 115.6 seconds
Name: Rue d'Antin, Instruction: Turn right onto Rue d'Antin, Distance: 32.1 meters, Time: 23.1 seconds
Name: -, Instruction: Turn left, Distance: 145.8 meters, Time: 105.0 seconds
Name: -, Instruction: Turn left, Distance: 25.2 meters, Time: 18.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
