Name: Rue Lamarck, Instruction: Head east on Rue Lamarck, Distance: 15.0 meters, Time: 10.8 seconds
Name: Rue Becquerel, Instruction: Turn left onto Rue Becquerel, Distance: 58.4 meters, Time: 42.1 seconds
Name: -, Instruction: Turn left, Distance: 12.8 meters, Time: 9.2 seconds
Name: -, Instruction: Turn left, Distance: 37.1 meters, Time: 26.7 seconds
Name: -, Instruction: Turn right, Distance: 14.1 meters, Time: 10.2 seconds
Name: -, Instruction: Turn left, Distance: 2.5 meters, Time: 1.8 seconds
Name: -, Instruction: Turn right, Distance: 59.7 meters, Time: 43.0 seconds
Name: -, Instruction: Turn slight right, Distance: 2.9 meters, Time: 2.1 seconds
Name: -, Instruction: Turn slight left, Distance: 98.8 meters, Time: 71.2 seconds
Name: -, Instruction: Turn right, Distance: 1.9 meters, Time: 1.4 seconds
Name: -, Instruction: Turn left, Distance: 12.0 meters, Time: 8.7 seconds
Name: -, Instruction: Turn left, Distance: 1.4 meters, Time: 1.0 seconds
Name: -, Instruction: Turn right, Distance: 55.9 meters, Time: 40.3 seconds
Name: -, Instruction: Turn right, Distance: 2.7 meters, Time: 2.0 seconds
Name: -, Instruction: Turn left, Distance: 11.6 meters, Time: 8.3 seconds
Name: -, Instruction: Turn left, Distance: 3.7 meters, Time: 2.6 seconds
Name: -, Instruction: Turn slight right, Distance: 68.2 meters, Time: 49.1 seconds
Name: -, Instruction: Turn slight right, Distance: 2.7 meters, Time: 1.9 seconds
Name: -, Instruction: Turn left, Distance: 15.8 meters, Time: 11.3 seconds
Name: -, Instruction: Turn left, Distance: 2.6 meters, Time: 1.8 seconds
Name: -, Instruction: Turn slight right, Distance: 137.1 meters, Time: 98.7 seconds
Name: -, Instruction: Turn left, Distance: 55.8 meters, Time: 40.2 seconds
Name: -, Instruction: Turn right, Distance: 2.7 meters, Time: 2.0 seconds
Name: -, Instruction: Turn left, Distance: 9.3 meters, Time: 6.7 seconds
Name: -, Instruction: Turn slight left, Distance: 2.7 meters, Time: 1.9 seconds
Name: -, Instruction: Keep right, Distance: 65.6 meters, Time: 47.2 seconds
Name: -, Instruction: Turn slight right, Distance: 2.8 meters, Time: 2.0 seconds
Name: -, Instruction: Turn left, Distance: 10.7 meters, Time: 7.7 seconds
Name: -, Instruction: Turn right, Distance: 28.0 meters, Time: 20.2 seconds
Name: -, Instruction: Turn left, Distance: 1.0 meters, Time: 0.7 seconds
Name: -, Instruction: Turn right, Distance: 25.6 meters, Time: 18.4 seconds
Name: -, Instruction: Turn right, Distance: 74.9 meters, Time: 53.9 seconds
Name: Rue Neuve de la Chardonnière, Instruction: Turn left onto Rue Neuve de la Chardonnière, Distance: 62.4 meters, Time: 44.9 seconds
Name: -, Instruction: Turn right, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
