Name: Manenberg Avenue, Instruction: Head north on Manenberg Avenue, Distance: 27.1 meters, Time: 19.5 seconds
Name: Sabie Walk, Instruction: Turn right onto Sabie Walk, Distance: 55.6 meters, Time: 40.1 seconds
Name: Sabie Walk, Instruction: Turn left onto Sabie Walk, Distance: 62.2 meters, Time: 44.8 seconds
Name: -, Instruction: Turn right, Distance: 72.2 meters, Time: 52.0 seconds
Name: Thames Avenue, Instruction: Turn left onto Thames Avenue, Distance: 38.8 meters, Time: 27.9 seconds
Name: Storms River Way, Instruction: Turn right onto Storms River Way, Distance: 253.2 meters, Time: 182.3 seconds
Name: -, Instruction: Turn right, Distance: 12.1 meters, Time: 8.7 seconds
Name: -, Instruction: Turn left, Distance: 29.2 meters, Time: 21.0 seconds
Name: -, Instruction: Turn left, Distance: 12.3 meters, Time: 8.8 seconds
Name: Yusuf Dadoo Street, Instruction: Turn right onto Yusuf Dadoo Street, Distance: 26.9 meters, Time: 19.3 seconds
Name: -, Instruction: Turn left, Distance: 121.9 meters, Time: 87.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
