Name: Chin Bee Avenue, Instruction: Head east on Chin Bee Avenue, Distance: 187.2 meters, Time: 134.8 seconds
Name: Second Chin Bee Road, Instruction: Turn right onto Second Chin Bee Road, Distance: 8.8 meters, Time: 6.4 seconds
Name: -, Instruction: Turn left, Distance: 175.7 meters, Time: 126.5 seconds
Name: -, Instruction: Turn slight right, Distance: 109.2 meters, Time: 78.6 seconds
Name: -, Instruction: Turn left, Distance: 6.3 meters, Time: 4.5 seconds
Name: Third Chin Bee Road, Instruction: Turn right onto Third Chin Bee Road, Distance: 189.2 meters, Time: 136.2 seconds
Name: -, Instruction: Turn left, Distance: 5.5 meters, Time: 4.0 seconds
Name: -, Instruction: Turn right, Distance: 147.5 meters, Time: 106.2 seconds
Name: -, Instruction: Turn left, Distance: 487.4 meters, Time: 350.9 seconds
Name: -, Instruction: Keep right, Distance: 29.1 meters, Time: 20.9 seconds
Name: -, Instruction: Turn left, Distance: 10.5 meters, Time: 7.5 seconds
Name: -, Instruction: Turn right, Distance: 4.8 meters, Time: 3.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
