Name: Rue Georges Méliès, Instruction: Head southwest on Rue Georges Méliès, Distance: 31.7 meters, Time: 22.8 seconds
Name: Rue Saint-Denis, Instruction: Turn sharp right onto Rue Saint-Denis, Distance: 197.1 meters, Time: 141.9 seconds
Name: Rue Saint-Denis, Instruction: Continue straight onto Rue Saint-Denis, Distance: 616.8 meters, Time: 444.1 seconds
Name: Rue de la Fraternité, Instruction: Turn right onto Rue de la Fraternité, Distance: 94.1 meters, Time: 67.8 seconds
Name: Rue Jean Jaurès, Instruction: Turn left onto Rue Jean Jaurès, Distance: 567.8 meters, Time: 408.8 seconds
Name: Rue Jean Jaurès, Instruction: Turn left onto Rue Jean Jaurès, Distance: 140.5 meters, Time: 101.2 seconds
Name: Rue de la République, Instruction: Turn right onto Rue de la République, Distance: 60.6 meters, Time: 43.6 seconds
Name: Rue de l'Abbé Bourbon, Instruction: Turn left onto Rue de l'Abbé Bourbon, Distance: 196.6 meters, Time: 141.6 seconds
Name: Rue de l'Abbé Bourbon, Instruction: Continue straight onto Rue de l'Abbé Bourbon, Distance: 67.1 meters, Time: 48.3 seconds
Name: Rue Gabriel Husson, Instruction: Turn right onto Rue Gabriel Husson, Distance: 112.0 meters, Time: 80.6 seconds
Name: -, Instruction: Turn right, Distance: 2.1 meters, Time: 1.5 seconds
Name: -, Instruction: Turn left, Distance: 82.5 meters, Time: 59.4 seconds
Name: -, Instruction: Turn left, Distance: 24.2 meters, Time: 17.4 seconds
Name: -, Instruction: Turn left, Distance: 20.2 meters, Time: 14.5 seconds
Name: -, Instruction: Turn sharp right, Distance: 94.5 meters, Time: 68.0 seconds
Name: -, Instruction: Turn left, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Turn right, Distance: 32.8 meters, Time: 23.6 seconds
Name: -, Instruction: Continue straight, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Turn left, Distance: 19.0 meters, Time: 13.7 seconds
Name: -, Instruction: Turn right, Distance: 160.3 meters, Time: 115.4 seconds
Name: -, Instruction: Turn right, Distance: 29.2 meters, Time: 21.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
