Name: Surin Avenue, Instruction: Head northeast on Surin Avenue, Distance: 6.5 meters, Time: 4.7 seconds
Name: Charlton Road, Instruction: Turn right onto Charlton Road, Distance: 111.4 meters, Time: 80.2 seconds
Name: -, Instruction: Turn left, Distance: 7.9 meters, Time: 5.7 seconds
Name: -, Instruction: Turn right, Distance: 105.9 meters, Time: 76.2 seconds
Name: Jalan Pelikat Park Connector, Instruction: Turn left onto Jalan Pelikat Park Connector, Distance: 285.0 meters, Time: 205.2 seconds
Name: Jalan Pelikat Park Connector, Instruction: Keep right onto Jalan Pelikat Park Connector, Distance: 4.0 meters, Time: 2.9 seconds
Name: Jalan Pelikat, Instruction: Turn left onto Jalan Pelikat, Distance: 478.3 meters, Time: 344.4 seconds
Name: -, Instruction: Keep right, Distance: 19.4 meters, Time: 13.9 seconds
Name: Jalan Pelikat Park Connector, Instruction: Turn left onto Jalan Pelikat Park Connector, Distance: 331.1 meters, Time: 238.4 seconds
Name: Jalan Pelikat Park Connector, Instruction: Turn left onto Jalan Pelikat Park Connector, Distance: 396.5 meters, Time: 285.5 seconds
Name: -, Instruction: Turn left, Distance: 101.9 meters, Time: 73.4 seconds
Name: -, Instruction: Turn right, Distance: 35.6 meters, Time: 25.7 seconds
Name: -, Instruction: Turn left, Distance: 347.3 meters, Time: 250.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
